task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,5788,False,2,19465,2218,-0.61089,2.19810,-0.61089,2.19810,1,5.53153
2,2,2,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,3279,False,2,26236,1884,0.14810,2.13647,0.14810,2.13647,1,6.03460
2,3,3,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,5626,False,2,35627,1868,-0.59238,1.93104,-0.59238,1.93104,1,-12.94570
2,4,4,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,3291,False,2,42916,2051,-2.75827,1.74615,-2.75827,1.74615,1,7.66374
2,5,5,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,2623,False,2,49338,1735,-2.16589,-0.32869,-2.16589,-0.32869,1,28.62922
2,6,6,60.00000,4.00000,6.92820,0,True,50.00000,58.50000,-1.50000,3657,False,2,56727,1768,1.05518,1.88995,1.05518,1.88995,1,0.82489
2,7,7,20.00000,7.51754,2.73616,0,True,10.00000,17.50000,-2.50000,2556,False,2,63916,2586,0.99964,2.17755,0.99964,2.17755,1,45.34174
2,8,8,40.00000,6.12836,5.14230,0,True,30.00000,38.50000,-1.50000,2571,False,2,70187,1484,1.72161,1.21203,1.72161,1.21203,1,-4.85409
2,9,9,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,3691,False,2,78593,1617,1.75863,1.82832,1.75863,1.82832,1,-13.88695
2,10,10,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,4960,False,2,86817,1451,-0.31470,3.36905,-0.31470,3.36905,1,-44.66354
2,11,11,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,3491,False,2,95189,2785,-0.75899,1.93104,-0.75899,1.93104,1,11.45717
