task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,2051,False,2,42208,4803,-1.29583,1.72561,-1.29583,1.72561,1,6.90436
2,2,2,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1797,False,2,48079,1768,-0.74048,1.86941,-0.74048,1.86941,1,11.60870
2,3,3,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,3986,False,2,55719,2035,2.12887,0.90389,2.12887,0.90389,1,3.00543
2,4,4,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,3736,False,2,64275,3236,1.90673,0.92443,1.90673,0.92443,1,-54.13474
2,5,5,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,2151,False,2,69312,1284,-2.25845,0.20543,-2.25845,0.20543,1,14.80264
2,6,6,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,3353,False,2,77686,3269,-1.81417,1.49964,-1.81417,1.49964,1,0.42198
2,7,7,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,2969,False,2,84592,2069,1.40690,1.97212,1.40690,1.97212,1,-5.50386
2,8,8,40.00000,6.12836,5.14230,0,True,30.00000,40.25000,0.25000,2690,False,2,90946,1768,1.85119,1.15041,1.85119,1.15041,1,-8.14138
2,9,9,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,3812,False,2,98235,2318,1.77714,1.21203,1.77714,1.21203,1,-5.70556
2,10,10,140.00000,-6.12836,5.14230,0,True,130.00000,138.25000,-1.75000,3423,False,2,105724,2018,-1.85119,1.23258,-1.85119,1.23258,1,6.34309
2,11,11,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,2806,False,2,112413,1935,0.37024,2.17755,0.37024,2.17755,1,0.35051
2,12,12,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1837,False,2,118317,1851,-0.75899,1.99267,-0.75899,1.99267,1,10.85139
2,13,13,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,3256,False,2,125639,1801,1.14774,1.74615,1.14774,1.74615,1,-3.31682
2,14,14,20.00000,7.51754,2.73616,0,True,10.00000,18.50000,-1.50000,2876,False,2,132044,1984,1.83268,0.94498,1.83268,0.94498,1,7.27687
2,15,15,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,1589,False,2,137465,2235,-2.14738,0.86280,-2.14738,0.86280,1,-1.88986
2,16,16,120.00000,-4.00000,6.92820,0,True,110.00000,118.50000,-1.50000,2089,False,2,142719,1217,-1.49946,1.62289,-1.49946,1.62289,1,12.73621
2,17,17,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1671,False,2,149458,2018,-0.53685,2.01321,-0.53685,2.01321,1,4.93126
2,18,18,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1721,False,2,154428,1301,-1.22179,1.84887,-1.22179,1.84887,1,3.45795
2,19,19,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,1635,False,2,159882,1450,1.24030,1.91050,1.24030,1.91050,1,-2.99170
2,20,20,40.00000,6.12836,5.14230,0,True,30.00000,40.75000,0.75000,2375,False,2,165620,1501,1.53649,1.49964,1.53649,1.49964,1,4.30463
2,21,21,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,1723,False,2,170691,1218,1.29583,1.84887,1.29583,1.84887,1,-25.02572
2,22,22,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,1660,False,2,175611,1618,1.85119,0.76009,1.85119,0.76009,1,2.32283
2,23,23,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,1441,False,2,180598,1884,-1.81417,1.68452,-1.81417,1.68452,1,-2.87778
2,24,24,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,1591,False,2,185585,1500,-2.16589,0.43140,-2.16589,0.43140,1,8.73530
3,1,25,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2409,False,2,191190,1368,1.51798,1.80778,1.78094,1.49439,1,9.98006
3,2,26,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,1710,False,2,195376,967,0.87006,1.97212,0.36349,2.06145,1,-13.80612
3,3,27,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,1678,False,2,199780,1168,1.35137,1.84887,1.13842,1.97181,1,-6.16369
3,4,28,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,1594,False,2,204116,1367,-1.92524,1.21203,-2.08957,0.76054,1,-12.19236
3,5,29,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,1643,False,2,208887,1718,-2.01780,1.06823,-1.71009,1.43494,1,12.10311
3,6,30,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,2911,False,2,213824,801,-0.74048,1.95158,-1.03018,1.78432,1,-9.22196
3,7,31,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,1663,False,2,217944,1134,-0.68494,2.05430,-0.37196,2.10948,1,8.43930
3,8,32,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,1861,False,2,222898,1401,1.96226,0.51357,1.89778,0.69074,1,-5.33331
3,9,33,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,1960,False,2,228218,2001,1.90673,1.17095,2.06002,0.74978,1,11.55468
3,10,34,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,1891,False,2,232972,1334,0.44429,2.15701,0.38227,2.16795,1,-1.63872
3,11,35,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,1592,False,2,237525,1217,-1.29583,1.64344,-1.03559,1.79369,1,8.25530
3,12,36,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,2426,False,2,242212,684,-2.31399,-0.32869,-1.93766,0.70525,1,28.08448
3,13,37,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,1714,False,2,246415,1217,1.25881,1.60235,1.00854,1.74684,1,-8.15326
3,14,38,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1658,False,2,251236,1201,-0.44429,2.23918,-0.39632,2.24764,1,1.22266
3,15,39,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,1525,False,2,255756,1284,-1.61054,1.54072,-1.70376,1.42962,1,-3.73075
3,16,40,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2276,False,2,260926,1150,1.46244,1.37638,1.53593,1.28880,1,3.26359
4,1,41,20.00000,7.51754,2.73616,0,True,10.00000,21.25000,1.25000,1978,False,2,265880,1717,1.79565,0.90389,1.79565,0.90389,1,6.71966
4,2,42,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,1906,False,2,271718,1584,1.83268,1.45855,1.83268,1.45855,1,-1.48525
4,3,43,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,1819,False,2,277339,1201,-0.35173,2.25973,-0.35173,2.25973,1,-1.15283
4,4,44,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,2740,False,2,284128,1501,-1.81417,1.33529,-1.81417,1.33529,1,3.64568
4,5,45,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,2091,False,2,289932,1534,-1.05518,2.05430,-1.05518,2.05430,1,-2.81295
4,6,46,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,1773,False,2,295420,1585,1.14774,1.70507,1.14774,1.70507,1,-3.94582
4,7,47,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,3093,False,2,301975,1568,-2.01780,0.34923,-2.01780,0.34923,1,10.18083
4,8,48,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,1625,False,2,306528,1434,0.24065,2.21864,0.24065,2.21864,1,3.80948
5,1,49,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,4136,False,2,348043,24151,0.99964,1.76669,0.99964,1.76669,1,0.49767
5,2,50,140.00000,-6.12836,5.14230,0,True,130.00000,138.00000,-2.00000,2130,False,2,358901,3102,-1.88821,1.17095,-1.88821,1.17095,1,8.19539
5,3,51,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,2215,False,2,367125,2235,1.38839,1.47909,1.38839,1.47909,1,6.81169
5,4,52,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,2402,False,2,374114,1435,1.99929,1.08878,1.99929,1.08878,1,8.57197
5,5,53,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,1523,False,2,379351,1351,-1.40690,1.72561,-1.40690,1.72561,1,9.19056
5,6,54,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,1565,False,2,392178,6889,-0.49982,2.05430,-0.49982,2.05430,1,3.67461
5,7,55,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,1654,False,2,401352,3519,1.85119,5.95746,1.85119,5.95746,1,-7.26184
5,8,56,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,1532,False,2,408441,1835,-1.99929,0.51357,-1.99929,0.51357,1,5.59356
5,9,57,160.00000,-7.51754,2.73616,0,True,150.00000,158.00000,-2.00000,1806,False,2,413912,1401,-1.99929,0.47249,-1.99929,0.47249,1,6.70331
5,10,58,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,2473,False,2,420050,1401,1.96226,1.04769,1.96226,1.04769,1,8.09865
5,11,59,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,1689,False,2,425221,767,1.92524,1.00661,1.92524,1.00661,1,-12.39722
