task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,5254,False,2,98567,2035,0.38875,2.07484,0.38875,2.07484,1,-0.61212
2,2,2,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,2901,False,2,104555,1184,1.75863,1.06823,1.75863,1.06823,1,11.27540
2,3,3,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,2457,False,2,110009,617,1.55500,1.33529,1.55500,1.33529,1,0.65293
2,4,4,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,2462,False,2,117415,3169,-0.44429,2.03375,-0.44429,2.03375,1,2.32315
2,5,5,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,1936,False,2,122152,784,-2.09185,0.59575,-2.09185,0.59575,1,4.10327
2,6,6,140.00000,-6.12836,5.14230,0,True,130.00000,138.75000,-1.25000,1906,False,2,127973,950,-1.68458,1.45855,-1.68458,1.45855,1,-0.88680
2,7,7,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,1942,False,2,132777,867,-1.24030,1.66398,-1.24030,1.66398,1,6.70017
2,8,8,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,1944,False,2,137397,884,1.22179,1.91050,1.22179,1.91050,1,-2.59945
2,9,9,140.00000,-6.12836,5.14230,0,True,130.00000,138.75000,-1.25000,3143,False,2,143335,817,-1.38839,1.62289,-1.38839,1.62289,1,-9.45286
2,10,10,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,1825,False,2,148339,851,-2.09185,0.73955,-2.09185,0.73955,1,0.52953
2,11,11,40.00000,6.12836,5.14230,0,True,30.00000,38.25000,-1.75000,1622,False,2,153343,800,1.70310,1.29421,1.70310,1.29421,1,-2.76828
2,12,12,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,3077,False,2,159164,767,2.09185,0.94498,2.09185,0.94498,1,4.31077
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,3511,False,2,165486,767,-0.40726,2.07484,-0.40726,2.07484,1,1.10512
2,14,14,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2694,False,2,170823,634,0.59238,2.11593,0.59238,2.11593,1,-5.64023
2,15,15,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,2476,False,2,176344,667,0.94411,1.93104,0.94411,1.93104,1,3.94540
2,16,16,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,1977,False,2,181064,717,-1.07369,1.76669,-1.07369,1.76669,1,1.28877
2,17,17,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,2710,False,2,186685,750,-1.90673,1.02715,-1.90673,1.02715,1,-8.31122
2,18,18,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,2839,False,2,194525,1602,-0.48131,1.95158,-0.48131,1.95158,1,3.85414
2,19,19,40.00000,6.12836,5.14230,0,True,30.00000,40.00000,0.00000,2292,False,2,199479,784,1.59202,1.25312,1.59202,1.25312,1,-1.79280
