task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,6555,False,2,49014,3669,-0.38875,2.23918,-0.38875,2.23918,1,-0.15090
2,2,2,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,2511,False,2,56420,1651,-1.07369,2.13647,-1.07369,2.13647,1,-3.31803
2,3,3,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,4505,False,2,66211,2618,-2.12887,0.49303,-2.12887,0.49303,1,6.96061
2,4,4,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,3020,False,2,72750,1451,0.35173,2.05430,0.35173,2.05430,1,0.28423
2,5,5,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,5005,False,2,83208,1902,1.09220,1.95158,1.09220,1.95158,1,0.76648
2,6,6,40.00000,6.12836,5.14230,0,True,30.00000,38.25000,-1.75000,2469,False,2,90080,1351,1.49946,1.66398,1.49946,1.66398,1,7.97708
2,7,7,20.00000,7.51754,2.73616,0,True,10.00000,18.50000,-1.50000,1857,False,2,96268,1751,1.90673,0.82172,1.90673,0.82172,1,3.31400
2,8,8,140.00000,-6.12836,5.14230,0,True,130.00000,140.75000,0.75000,2840,False,2,103674,2069,-1.59202,1.29421,-1.59202,1.29421,1,0.89111
2,9,9,40.00000,6.12836,5.14230,0,True,30.00000,38.50000,-1.50000,2400,False,2,112480,1934,1.20327,1.86941,1.20327,1.86941,1,17.23212
2,10,10,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,2352,False,2,121170,3452,0.40726,2.09538,0.40726,2.09538,1,-0.99893
2,11,11,160.00000,-7.51754,2.73616,0,True,150.00000,158.25000,-1.75000,4245,False,2,132796,1684,-1.94375,0.69846,-1.94375,0.69846,1,0.23479
2,12,12,140.00000,-6.12836,5.14230,0,True,130.00000,140.75000,0.75000,2204,False,2,138933,1400,-1.64756,1.39692,-1.64756,1.39692,1,-0.29368
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,1889,False,2,144655,1300,-0.57387,2.21864,-0.57387,2.21864,1,4.50220
2,14,14,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,1855,False,2,150677,1268,-1.12923,1.74615,-1.12923,1.74615,1,2.89063
2,15,15,60.00000,4.00000,6.92820,0,True,50.00000,60.50000,0.50000,2488,False,2,156848,784,1.33286,1.54072,1.33286,1.54072,1,-10.86272
2,16,16,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,2424,False,2,165205,2952,1.92524,0.73955,1.92524,0.73955,1,1.01348
2,17,17,80.00000,1.38919,7.87846,0,True,70.00000,81.00000,1.00000,2334,False,2,171476,867,0.79601,1.88995,0.79601,1.88995,1,-12.83987
2,18,18,140.00000,-6.12836,5.14230,0,True,130.00000,140.75000,0.75000,2272,False,2,178498,1384,-1.74012,1.39692,-1.74012,1.39692,1,1.24347
2,19,19,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,2770,False,2,185704,1068,-0.62940,1.95158,-0.62940,1.95158,1,7.87492
2,20,20,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,1821,False,2,192692,1717,1.48095,1.68452,1.48095,1.68452,1,8.67960
2,21,21,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,1900,False,2,201416,2068,-5.29440,1.60235,-5.29440,1.60235,1,3.16156
2,22,22,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,2435,False,2,209522,1417,-1.40690,1.58181,-1.40690,1.58181,1,11.65067
2,23,23,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,2485,False,2,216744,917,0.92560,1.82832,0.92560,1.82832,1,3.14886
2,24,24,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,1934,False,2,226568,3369,1.96226,1.06823,1.96226,1.06823,1,8.56332
3,1,25,80.00000,1.38919,7.87846,0,True,70.00000,80.75000,0.75000,2135,False,2,232023,901,0.38875,2.01321,0.35600,2.01898,1,-0.92927
