task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,40.00000,6.12836,5.14230,0,True,30.00000,40.75000,0.75000,2885,False,2,45492,6104,1.61054,1.29421,1.61054,1.29421,1,-1.21507
2,2,2,100.00000,-1.38919,7.87846,0,True,90.00000,99.00000,-1.00000,3125,False,2,53131,1718,-0.31470,2.09538,-0.31470,2.09538,1,-1.45873
2,3,3,140.00000,-6.12836,5.14230,0,True,130.00000,138.75000,-1.25000,2864,False,2,63623,2052,-1.53649,1.31475,-1.53649,1.31475,1,-0.55308
2,4,4,80.00000,1.38919,7.87846,0,True,70.00000,78.75000,-1.25000,2382,False,2,72079,1768,0.14810,2.05430,0.14810,2.05430,1,5.87653
2,5,5,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,2118,False,2,79735,2085,-1.18476,1.68452,-1.18476,1.68452,1,5.11956
2,6,6,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,2485,False,2,87908,2168,1.85119,0.96552,1.85119,0.96552,1,7.54507
2,7,7,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,2684,False,2,96431,1684,1.11071,1.70507,1.11071,1.70507,1,-3.08087
2,8,8,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,3120,False,2,104604,1917,-2.05482,0.49303,-2.05482,0.49303,1,6.50761
2,9,9,80.00000,1.38919,7.87846,0,True,70.00000,78.75000,-1.25000,4005,False,2,113778,1918,0.49982,1.95158,0.49982,1.95158,1,-4.36527
2,10,10,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2319,False,2,120984,1718,1.44393,1.39692,1.44393,1.39692,1,4.05196
2,11,11,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,2288,False,2,128739,2468,-1.98077,0.53412,-1.98077,0.53412,1,4.90897
2,12,12,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,1935,False,2,135862,2152,-1.68458,1.33529,-1.68458,1.33529,1,1.59774
2,13,13,60.00000,4.00000,6.92820,0,True,50.00000,58.50000,-1.50000,1835,False,2,142650,1484,1.35137,1.49964,1.35137,1.49964,1,-12.02295
2,14,14,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,2187,False,2,150173,1901,-1.09220,1.68452,-1.09220,1.68452,1,2.95835
2,15,15,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,1920,False,2,156611,1467,-0.38875,2.07484,-0.38875,2.07484,1,0.61212
2,16,16,20.00000,7.51754,2.73616,0,True,10.00000,18.75000,-1.25000,2069,False,2,163667,1451,2.07333,0.80118,2.07333,0.80118,1,1.12762
2,17,17,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,2723,False,2,170589,1685,-0.46280,1.99267,-0.46280,1.99267,1,3.07521
