task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,4253,False,2,60386,3469,0.55536,1.95158,0.55536,1.95158,1,-5.88473
2,2,2,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,2005,False,2,66574,950,1.09220,1.70507,1.09220,1.70507,1,-2.64201
2,3,3,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,2359,False,2,72145,684,-1.31435,1.68452,-1.31435,1.68452,1,7.96320
2,4,4,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,2206,False,2,77866,617,-1.90673,0.88335,-1.90673,0.88335,1,-4.85735
2,5,5,140.00000,-6.12836,5.14230,0,True,130.00000,138.75000,-1.25000,2291,False,2,83721,884,-1.62905,1.35584,-1.62905,1.35584,1,0.22977
2,6,6,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,2425,False,2,89158,750,1.81417,1.12986,1.81417,1.12986,1,-8.08547
2,7,7,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,2123,False,2,94879,617,-0.20363,2.01321,-0.20363,2.01321,1,-4.22435
2,8,8,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,4245,False,2,101935,617,1.85119,0.78063,1.85119,0.78063,1,2.86471
2,9,9,160.00000,-7.51754,2.73616,0,True,150.00000,157.75000,-2.25000,3091,False,2,108773,850,-1.79565,0.88335,-1.79565,0.88335,1,-6.19437
2,10,10,100.00000,-1.38919,7.87846,0,True,90.00000,98.75000,-1.25000,2005,False,2,114528,667,-0.81452,1.97212,-0.81452,1.97212,1,12.44148
2,11,11,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,2405,False,2,120833,634,0.29619,1.99267,0.29619,1.99267,1,1.54547
2,12,12,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,3369,False,2,129439,884,1.59202,1.41746,1.59202,1.41746,1,1.68037
