task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,2752,False,2,51461,2301,-1.85119,0.84226,-1.85119,0.84226,1,-4.46473
2,2,2,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,1540,False,2,56248,884,-1.68458,1.43801,-1.68458,1.43801,1,-0.48510
2,3,3,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,2609,False,2,63854,2952,-1.40690,1.76669,-1.40690,1.76669,1,8.53199
2,4,4,40.00000,6.12836,5.14230,0,True,30.00000,42.00000,2.00000,2286,False,2,69225,934,1.46244,1.39692,1.46244,1.39692,1,3.68734
2,5,5,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,1727,False,2,73578,867,0.37024,2.01321,0.37024,2.01321,1,-0.42056
2,6,6,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,2694,False,2,79165,867,1.07369,1.84887,1.07369,1.84887,1,-0.14492
2,7,7,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1794,False,2,83519,867,-0.27768,2.09538,-0.27768,2.09538,1,-2.45114
2,8,8,20.00000,7.51754,2.73616,0,True,10.00000,21.00000,1.00000,1711,False,2,87355,550,1.88821,0.78063,1.88821,0.78063,1,2.46134
2,9,9,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,2211,False,2,92276,851,1.90673,0.82172,1.90673,0.82172,1,3.31400
2,10,10,80.00000,1.38919,7.87846,0,True,70.00000,80.75000,0.75000,2193,False,2,97396,851,0.74048,2.21864,0.74048,2.21864,1,-8.45664
2,11,11,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2642,False,2,102867,867,-1.12923,1.82832,-1.12923,1.82832,1,1.70083
2,12,12,140.00000,-6.12836,5.14230,0,True,130.00000,138.50000,-1.50000,1477,False,2,107120,850,-1.46244,1.43801,-1.46244,1.43801,1,-4.51742
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,2042,False,2,111957,851,-0.37024,2.28027,-0.37024,2.28027,1,-0.77755
2,14,14,40.00000,6.12836,5.14230,0,True,30.00000,40.75000,0.75000,1595,False,2,116127,884,1.48095,1.47909,1.48095,1.47909,1,4.96400
2,15,15,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,1577,False,2,120314,834,-1.94375,0.96552,-1.94375,0.96552,1,-6.41499
2,16,16,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,1608,False,2,124784,868,1.24030,1.91050,1.24030,1.91050,1,-2.99170
2,17,17,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,1561,False,2,128887,884,-1.62905,1.43801,-1.62905,1.43801,1,-1.43578
2,18,18,100.00000,-1.38919,7.87846,0,True,90.00000,101.00000,1.00000,2328,False,2,133807,817,-0.42577,1.97212,-0.42577,1.97212,1,2.18286
