task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,120.00000,-4.00000,6.92820,0,True,110.00000,122.00000,2.00000,1902,False,2,47038,6438,-0.96262,1.93104,-0.96262,1.93104,1,-3.50383
2,2,2,80.00000,1.38919,7.87846,0,True,70.00000,77.75000,-2.25000,2814,False,2,55061,2485,0.42577,1.97212,0.42577,1.97212,1,-2.18286
2,3,3,160.00000,-7.51754,2.73616,0,True,150.00000,160.75000,0.75000,3517,False,2,63017,817,-1.94375,0.53412,-1.94375,0.53412,1,4.63502
2,4,4,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,1881,False,2,72291,767,1.99929,0.63683,1.99929,0.63683,1,-2.33186
2,5,5,100.00000,-1.38919,7.87846,0,True,90.00000,101.25000,1.25000,2286,False,2,80547,1517,-0.46280,1.99267,-0.46280,1.99267,1,3.07521
2,6,6,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,1806,False,2,86218,1384,1.14774,1.70507,1.14774,1.70507,1,-3.94582
2,7,7,40.00000,6.12836,5.14230,0,True,30.00000,41.25000,1.25000,2821,False,2,93491,1602,1.53649,1.60235,1.53649,1.60235,1,6.20202
2,8,8,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,1754,False,2,99462,1067,-1.70310,1.27366,-1.70310,1.27366,1,3.20909
2,9,9,60.00000,4.00000,6.92820,0,True,50.00000,61.00000,1.00000,2404,False,2,106684,1551,1.25881,1.56127,1.25881,1.56127,1,-8.87830
2,10,10,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,2104,False,2,113806,1684,0.51833,2.01321,0.51833,2.01321,1,-4.43805
2,11,11,160.00000,-7.51754,2.73616,0,True,150.00000,160.50000,0.50000,1953,False,2,119594,901,-2.09185,0.59575,-2.09185,0.59575,1,4.10327
2,12,12,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,2582,False,2,129635,1918,1.86970,0.73955,1.86970,0.73955,1,1.58101
2,13,13,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,2217,False,2,136607,917,-1.81417,1.08878,-1.81417,1.08878,1,9.02979
2,14,14,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,1598,False,2,144930,1534,-1.05518,1.84887,-1.05518,1.84887,1,-0.28590
2,15,15,40.00000,6.12836,5.14230,0,True,30.00000,40.50000,0.50000,2653,False,2,153236,2068,1.48095,1.35584,1.48095,1.35584,1,2.47474
2,16,16,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1652,False,2,159107,1034,-0.48131,2.19810,-0.48131,2.19810,1,2.35092
2,17,17,40.00000,6.12836,5.14230,0,True,30.00000,41.50000,1.50000,2554,False,2,165996,867,1.81417,1.31475,1.81417,1.31475,1,-4.06872
2,18,18,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,2339,False,2,174886,3336,-0.75899,1.95158,-0.75899,1.95158,1,-8.74842
2,19,19,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,2529,False,2,183542,1751,1.90673,0.86280,1.90673,0.86280,1,4.34687
2,20,20,160.00000,-7.51754,2.73616,0,True,150.00000,161.75000,1.75000,2770,False,2,190781,884,-2.05482,0.26706,-2.05482,0.26706,1,12.59491
2,21,21,80.00000,1.38919,7.87846,0,True,70.00000,81.75000,1.75000,2816,False,2,200305,1451,0.22214,2.13647,0.22214,2.13647,1,4.06399
2,22,22,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,2352,False,2,207311,918,-0.29619,2.05430,-0.29619,2.05430,1,-1.79561
2,23,23,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,2638,False,2,217135,3369,-1.86970,0.71900,-1.86970,0.71900,1,18.96557
2,24,24,60.00000,4.00000,6.92820,0,True,50.00000,61.25000,1.25000,3015,False,2,225208,951,0.72196,1.91050,0.72196,1.91050,1,9.29889
3,1,25,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,2402,False,2,232646,1100,-1.11071,1.70507,-1.01599,1.75975,1,3.08087
3,2,26,160.00000,-7.51754,2.73616,0,True,150.00000,160.50000,0.50000,3587,False,2,243155,2786,-2.05482,0.49303,-1.97291,0.71808,1,6.50761
3,3,27,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,2432,False,2,249676,850,0.87006,1.88995,1.03589,1.79421,1,5.28048
3,4,28,80.00000,1.38919,7.87846,0,True,70.00000,81.50000,1.50000,2255,False,2,256281,1084,0.85155,1.91050,0.35239,1.99851,1,-14.02354
3,5,29,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,3288,False,2,264571,984,1.86970,0.94498,1.95470,0.71145,1,6.81285
3,6,30,140.00000,-6.12836,5.14230,0,True,130.00000,138.50000,-1.50000,3120,False,2,274245,2218,-1.81417,1.06823,-1.59060,1.33467,1,9.50933
3,7,31,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,2667,False,2,282034,1634,1.62905,1.37638,1.63370,1.37084,1,0.19438
3,8,32,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2484,False,2,289173,1018,-0.44429,2.01321,-0.35768,2.02848,1,2.44498
3,9,33,100.00000,-1.38919,7.87846,0,True,90.00000,101.50000,1.50000,1871,False,2,295812,1134,-0.72196,1.97212,-0.35902,2.03612,1,10.10683
3,10,34,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,2034,False,2,304168,1918,0.98113,1.82832,1.03697,1.79608,1,1.78069
3,11,35,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1818,False,2,310356,1067,0.48131,2.07484,0.36933,2.09458,1,-3.06017
3,12,36,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,1773,False,2,316127,967,1.38839,1.58181,1.59363,1.33722,1,8.72585
3,13,37,20.00000,7.51754,2.73616,0,True,10.00000,20.75000,0.75000,1753,False,2,322716,968,1.79565,1.08878,1.93553,0.70448,1,11.23024
3,14,38,160.00000,-7.51754,2.73616,0,True,150.00000,161.50000,1.50000,2070,False,2,329004,834,-2.20292,0.24652,-2.02445,0.73684,1,13.61482
3,15,39,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,1955,False,2,335409,801,-2.03631,0.71900,-1.54900,1.29976,1,20.55240
3,16,40,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,2557,False,2,342447,1300,-1.31435,1.68452,-1.05801,1.83252,1,7.96320
4,1,41,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,1721,False,2,348652,1067,-0.59238,1.95158,-0.59238,1.95158,1,6.88507
4,2,42,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,2020,False,2,355024,801,-1.09220,1.76669,-1.09220,1.76669,1,1.72511
4,3,43,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,1975,False,2,360645,901,-1.64756,1.21203,-1.64756,1.21203,1,3.65989
4,4,44,40.00000,6.12836,5.14230,0,True,30.00000,40.50000,0.50000,3036,False,2,368751,1334,1.36988,1.47909,1.36988,1.47909,1,7.19525
4,5,45,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,2369,False,2,375573,767,0.53685,1.99267,0.53685,1.99267,1,-5.07819
4,6,46,20.00000,7.51754,2.73616,0,True,10.00000,22.00000,2.00000,3088,False,2,383045,833,1.68458,1.27366,1.68458,1.27366,1,17.09182
4,7,47,160.00000,-7.51754,2.73616,0,True,150.00000,160.50000,0.50000,1887,False,2,391735,2952,-1.99929,0.53412,-1.99929,0.53412,1,5.04247
4,8,48,60.00000,4.00000,6.92820,0,True,50.00000,61.50000,1.50000,4283,False,2,401259,1901,0.90708,1.88995,0.90708,1.88995,1,4.36136
5,1,49,80.00000,1.38919,7.87846,0,True,70.00000,79.00000,-1.00000,5955,False,2,447028,11475,0.07405,2.25973,0.07405,2.25973,1,8.12312
5,2,50,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,2618,False,2,454367,1668,0.75899,1.86941,0.75899,1.86941,1,7.90260
5,3,51,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,2549,False,2,462457,968,-0.27768,2.01321,-0.27768,2.01321,1,-2.14680
5,4,52,40.00000,6.12836,5.14230,0,True,30.00000,41.00000,1.00000,2370,False,2,469278,867,1.96226,0.98606,1.96226,0.98606,1,-13.31990
5,5,53,20.00000,7.51754,2.73616,0,True,10.00000,20.75000,0.75000,2388,False,2,476117,934,2.11036,0.65737,2.11036,0.65737,1,-2.69837
5,6,54,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,3703,False,2,484640,850,-1.99929,0.39032,-1.99929,0.39032,1,8.95313
5,7,55,120.00000,-4.00000,6.92820,0,True,110.00000,118.50000,-1.50000,2552,False,2,493731,1501,-1.24030,1.62289,-1.24030,1.62289,1,7.38901
5,8,56,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,2336,False,2,501453,1184,-1.57351,1.31475,-1.57351,1.31475,1,0.11948
5,9,57,80.00000,1.38919,7.87846,0,True,70.00000,79.00000,-1.00000,2203,False,2,508275,1601,0.64792,1.91050,0.64792,1.91050,1,-8.73367
