task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,3352,False,2,50365,2018,-1.72161,1.10932,-1.72161,1.10932,1,7.20428
2,2,2,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2470,False,2,57837,884,-0.44429,2.03375,-0.44429,2.03375,1,2.32315
2,3,3,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,2338,False,2,66460,2284,1.79565,1.08878,1.79565,1.08878,1,-8.76976
2,4,4,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,2835,False,2,73949,983,1.99929,0.53412,1.99929,0.53412,1,-5.04247
2,5,5,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,3051,False,2,83590,1785,-1.94375,0.59575,-1.94375,0.59575,1,2.95995
2,6,6,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,2609,False,2,105357,1168,1.36988,1.52018,1.36988,1.52018,1,-12.02297
2,7,7,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,2037,False,2,111395,767,-0.98113,1.84887,-0.98113,1.84887,1,-2.04669
2,8,8,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,4657,False,2,120518,1367,0.46280,1.95158,0.46280,1.95158,1,-3.34076
2,9,9,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,2953,False,2,128524,1451,0.40726,1.99267,0.40726,1.99267,1,-1.55098
2,10,10,100.00000,-1.38919,7.87846,0,True,90.00000,98.75000,-1.25000,3403,False,2,136364,1334,-0.24065,2.01321,-0.24065,2.01321,1,-3.18347
2,11,11,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,3921,False,2,146789,2503,1.98077,0.39032,1.98077,0.39032,1,-8.85242
2,12,12,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,3816,False,2,157030,2202,-1.16625,1.66398,-1.16625,1.66398,1,5.02584
2,13,13,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,1716,False,2,163034,1034,-1.49946,1.41746,-1.49946,1.41746,1,-3.38973
2,14,14,40.00000,6.12836,5.14230,0,True,30.00000,40.25000,0.25000,1904,False,2,169406,1084,1.64756,1.15041,1.64756,1.15041,1,-5.07530
