task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,13977,False,2,62561,3903,-1.94375,0.47249,-1.94375,0.47249,1,6.33743
2,2,2,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,5364,False,2,74520,3719,1.90673,0.90389,1.90673,0.90389,1,5.36340
2,3,3,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,3436,False,2,81026,968,-1.20327,1.60235,-1.20327,1.60235,1,6.90438
2,4,4,60.00000,4.00000,6.92820,0,True,50.00000,61.25000,1.25000,3544,False,2,88715,2318,1.35137,1.58181,1.35137,1.58181,1,-10.50789
2,5,5,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,2455,False,2,94319,984,-1.83268,1.12986,-1.83268,1.12986,1,8.34588
2,6,6,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2760,False,2,99973,917,0.31470,2.17755,0.31470,2.17755,1,1.77654
2,7,7,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2693,False,2,105694,883,-0.85155,1.93104,-0.85155,1.93104,1,13.79652
2,8,8,40.00000,6.12836,5.14230,0,True,30.00000,41.50000,1.50000,3277,False,2,112300,1151,1.61054,1.39692,1.61054,1.39692,1,0.93710
2,9,9,100.00000,-1.38919,7.87846,0,True,90.00000,99.00000,-1.00000,3242,False,2,118905,1068,-1.09220,1.86941,-1.09220,1.86941,1,20.29554
2,10,10,40.00000,6.12836,5.14230,0,True,30.00000,41.25000,1.25000,4159,False,2,126361,968,1.64756,1.56127,1.64756,1.56127,1,3.45961
2,11,11,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,3911,False,2,134550,2301,0.42577,2.19810,0.42577,2.19810,1,-0.96239
2,12,12,60.00000,4.00000,6.92820,0,True,50.00000,61.25000,1.25000,2922,False,2,141172,1501,1.07369,2.03375,1.07369,2.03375,1,2.16881
2,13,13,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,3242,False,2,148328,2002,-1.92524,1.04769,-1.92524,1.04769,1,11.44556
2,14,14,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,2854,False,2,154999,1200,-1.59202,1.54072,-1.59202,1.54072,1,15.93816
2,15,15,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,2791,False,2,161738,1435,-2.05482,0.18489,-2.05482,0.18489,1,14.85845
2,16,16,20.00000,7.51754,2.73616,0,True,10.00000,21.25000,1.25000,3279,False,2,174181,2569,1.94375,0.86280,1.94375,0.86280,1,3.93568
2,17,17,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,3450,False,2,183405,2202,-2.03631,0.69846,-2.03631,0.69846,1,21.06789
2,18,18,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,2937,False,2,190527,1535,-1.18476,1.62289,-1.18476,1.62289,1,26.13060
2,19,19,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,7276,False,2,202336,1685,1.77714,1.00661,1.77714,1.00661,1,9.52814
2,20,20,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,4540,False,2,211209,1651,0.81452,1.86941,0.81452,1.86941,1,6.45678
2,21,21,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,2639,False,2,217714,1617,-2.12887,0.57520,-2.12887,0.57520,1,4.88026
2,22,22,80.00000,1.38919,7.87846,0,True,70.00000,78.75000,-1.25000,3259,False,2,231358,1751,0.55536,1.99267,0.55536,1.99267,1,-5.57323
2,23,23,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,3658,False,2,237914,984,-1.75863,1.29421,-1.75863,1.29421,1,23.64993
2,24,24,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,2993,False,2,245069,1718,1.29583,1.56127,1.29583,1.56127,1,10.30785
3,1,25,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,3320,False,2,253442,1851,1.46244,1.39692,1.54604,1.29729,1,3.68734
3,2,26,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,2757,False,2,259046,967,-2.25845,-0.02054,-1.98766,0.72345,1,20.52108
3,3,27,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,2695,False,2,265501,2151,0.83304,1.93104,1.04442,1.80899,1,6.66490
3,4,28,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,2990,False,2,270822,801,-0.03702,2.32135,0.39586,2.24503,1,10.91365
3,5,29,140.00000,-6.12836,5.14230,0,True,130.00000,137.75000,-2.25000,2345,False,2,276476,1484,-1.46244,1.47909,-1.58651,1.33124,1,-5.32431
3,6,30,100.00000,-1.38919,7.87846,0,True,90.00000,98.75000,-1.25000,2324,False,2,281780,1000,-1.48095,2.42407,-0.45920,2.60423,1,21.42223
3,7,31,20.00000,7.51754,2.73616,0,True,10.00000,21.50000,1.50000,16955,False,2,302663,2101,1.75863,1.43801,2.01508,0.73343,1,19.27244
3,8,32,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,3392,False,2,308618,1251,-1.85119,1.41746,-1.07658,1.86469,1,22.55864
3,9,33,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3644,False,2,315540,1568,0.03702,2.13647,0.36647,2.07838,1,9.00730
3,10,34,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,3043,False,2,321194,1034,-1.57351,1.37638,-1.60111,1.34349,1,-1.17682
3,11,35,20.00000,7.51754,2.73616,0,True,10.00000,20.75000,0.75000,9716,False,2,334805,2118,2.12887,0.67792,2.09772,0.76351,1,-2.33638
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,98.00000,-2.00000,3908,False,2,342144,1601,-0.62940,1.93104,-0.34921,1.98045,1,8.05278
3,13,37,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,2826,False,2,348498,1817,-1.98077,0.69846,-1.97355,0.71831,1,0.57631
3,14,38,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,2858,False,2,355054,1802,-1.59202,1.64344,-1.10964,1.92194,1,14.08950
3,15,39,40.00000,6.12836,5.14230,0,True,30.00000,42.25000,2.25000,2508,False,2,360975,1985,0.88857,2.40353,1.70494,1.43062,1,29.71096
3,16,40,60.00000,4.00000,6.92820,0,True,50.00000,61.00000,1.00000,3341,False,2,366996,900,0.77750,1.99267,1.05723,1.83117,1,8.68526
4,1,41,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,11901,False,2,382075,1385,-1.20327,1.60235,-1.20327,1.60235,1,6.90438
4,2,42,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,4759,False,2,390581,1668,-0.61089,2.15701,-0.61089,2.15701,1,5.81273
4,3,43,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,3027,False,2,396786,1868,-0.42577,2.21864,-0.42577,2.21864,1,20.86332
4,4,44,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,2605,False,2,403808,2035,-1.81417,1.29421,-1.81417,1.29421,1,4.49633
4,5,45,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,2738,False,2,410863,2034,0.49982,2.03375,0.49982,2.03375,1,16.19248
4,6,46,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,9644,False,2,424907,2168,1.01815,1.95158,1.01815,1.95158,1,22.44870
4,7,47,160.00000,-7.51754,2.73616,0,True,150.00000,158.00000,-2.00000,1830,False,2,434548,2218,-2.07333,0.16434,-2.07333,0.16434,1,15.46799
4,8,48,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,6156,False,2,446224,2669,1.86970,0.88335,1.86970,0.88335,1,5.28865
5,1,49,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,10792,False,2,482502,2802,1.66607,1.35584,1.66607,1.35584,1,-0.86146
5,2,50,140.00000,-6.12836,5.14230,0,True,130.00000,135.00000,-5.00000,4487,False,2,492943,3252,-1.66607,1.12986,-1.66607,1.12986,1,5.85650
5,3,51,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,11465,False,2,514376,1918,1.83268,0.92443,1.83268,0.92443,1,-33.23297
5,4,52,120.00000,-4.00000,6.92820,0,True,110.00000,118.50000,-1.50000,5659,False,2,524718,2719,-1.31435,1.64344,-1.31435,1.64344,1,8.65126
5,5,53,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,4901,False,2,536761,2936,-0.46280,2.01321,-0.46280,2.01321,1,2.94632
5,6,54,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,4836,False,2,547585,2868,-2.03631,0.71900,-2.03631,0.71900,1,0.55240
5,7,55,20.00000,7.51754,2.73616,0,True,10.00000,22.00000,2.00000,8272,False,2,560812,1968,1.94375,0.63683,1.94375,0.63683,1,-1.85967
5,8,56,80.00000,1.38919,7.87846,0,True,70.00000,79.00000,-1.00000,11476,False,2,578726,3119,-0.29619,1.99267,-0.29619,1.99267,1,18.45453
5,9,57,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,5371,False,2,588067,1585,0.27768,2.11593,0.27768,2.11593,1,2.52362
5,10,58,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,5510,False,2,597574,1484,-1.86970,1.00661,-1.86970,1.00661,1,-8.29716
5,11,59,140.00000,-6.12836,5.14230,0,True,130.00000,137.50000,-2.50000,6226,False,2,607665,1517,-1.70310,1.35584,-1.70310,1.35584,1,1.47666
5,12,60,100.00000,-1.38919,7.87846,0,True,90.00000,99.00000,-1.00000,4437,False,2,617023,1418,-0.79601,2.09538,-0.79601,2.09538,1,10.80119
5,13,61,20.00000,7.51754,2.73616,0,True,10.00000,21.00000,1.00000,10811,False,2,633135,2235,1.86970,1.06823,1.86970,1.06823,1,9.74095
5,14,62,60.00000,4.00000,6.92820,0,True,50.00000,60.50000,0.50000,6689,False,2,644460,1918,0.99964,1.82832,0.99964,1.82832,1,1.33222
5,15,63,40.00000,6.12836,5.14230,0,True,30.00000,41.00000,1.00000,6574,False,2,655485,1751,1.25881,1.72561,1.25881,1.72561,1,13.88974
5,16,64,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,7157,False,2,667661,1801,-1.33286,1.60235,-1.33286,1.60235,1,9.75422
