task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,120.00000,-4.00000,6.92820,0,True,110.00000,120.75000,0.75000,5671,False,2,46118,3202,-1.40690,1.47909,-1.40690,1.47909,1,13.56711
2,2,2,140.00000,-6.12836,5.14230,0,True,130.00000,138.25000,-1.75000,5504,False,2,57911,1852,-1.85119,0.98606,-1.85119,0.98606,1,11.95743
2,3,3,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,5651,False,2,69336,1067,-0.77750,1.97212,-0.77750,1.97212,1,11.51663
2,4,4,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,6111,False,2,79595,1401,1.07369,1.86941,1.07369,1.86941,1,0.12922
2,5,5,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,6539,False,2,93155,2402,1.81417,1.10932,1.81417,1.10932,1,11.44475
2,6,6,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,5566,False,2,105999,2102,1.27732,1.60235,1.27732,1.60235,1,11.43975
2,7,7,80.00000,1.38919,7.87846,0,True,70.00000,79.00000,-1.00000,5570,False,2,116957,2052,0.81452,2.05430,0.81452,2.05430,1,-11.62809
2,8,8,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,7490,False,2,129867,2202,-1.88821,0.78063,-1.88821,0.78063,1,-2.46134
2,9,9,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,6032,False,2,143861,1901,1.66607,1.21203,1.66607,1.21203,1,16.03508
2,10,10,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,5788,False,2,154553,1268,0.85155,1.95158,0.85155,1.95158,1,6.42649
2,11,11,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,5040,False,2,164727,1968,1.38839,1.64344,1.38839,1.64344,1,9.80863
2,12,12,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,8925,False,2,178755,1868,-1.25881,1.74615,-1.25881,1.74615,1,5.78806
2,13,13,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,4752,False,2,188963,1568,0.12958,2.03375,0.12958,2.03375,1,6.35434
2,14,14,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,3405,False,2,196402,1718,-1.35137,1.49964,-1.35137,1.49964,1,-7.97705
2,15,15,160.00000,-7.51754,2.73616,0,True,150.00000,158.25000,-1.75000,5306,False,2,215350,1868,-2.03631,0.65737,-2.03631,0.65737,1,2.10867
2,16,16,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,4092,False,2,229828,2669,-0.81452,2.09538,-0.81452,2.09538,1,11.24219
2,17,17,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,5188,False,2,238735,1534,1.29583,2.01321,1.29583,2.01321,1,17.23209
2,18,18,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,3403,False,2,246124,1384,-1.16625,1.74615,-1.16625,1.74615,1,3.73888
2,19,19,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,6441,False,2,256882,1551,1.75863,1.00661,1.75863,1.00661,1,9.78609
2,20,20,160.00000,-7.51754,2.73616,0,True,150.00000,157.75000,-2.25000,5909,False,2,266390,1418,-2.18440,0.98606,-2.18440,0.98606,1,-4.29489
2,21,21,60.00000,4.00000,6.92820,0,True,50.00000,57.50000,-2.50000,5275,False,2,275897,1618,0.83304,1.93104,0.83304,1.93104,1,6.66490
2,22,22,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,3971,False,2,284320,1267,0.83304,2.17755,0.83304,2.17755,1,-10.93477
2,23,23,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,3892,False,2,292410,1751,-1.51798,1.60235,-1.51798,1.60235,1,-6.54883
