task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,3302,False,2,36703,2885,1.33286,1.86941,1.33286,1.86941,1,-5.48827
2,2,2,40.00000,6.12836,5.14230,0,True,30.00000,38.00000,-2.00000,1482,False,2,41723,1751,1.74012,1.25312,1.74012,1.25312,1,-4.24105
2,3,3,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,1807,False,2,47528,2152,0.94411,2.25973,0.94411,2.25973,1,-12.67506
2,4,4,140.00000,-6.12836,5.14230,0,True,130.00000,140.75000,0.75000,2154,False,2,53382,1501,-1.11071,2.03375,-1.11071,2.03375,1,-21.35933
2,5,5,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,2191,False,2,58903,1468,-0.11107,2.25973,-0.11107,2.25973,1,-27.18607
2,6,6,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,2327,False,2,64074,1268,-1.14774,1.91050,-1.14774,1.91050,1,-39.00450
2,7,7,100.00000,-1.38919,7.87846,0,True,90.00000,99.00000,-1.00000,4294,False,2,73698,3386,-0.59238,2.17755,-0.59238,2.17755,1,5.21844
2,8,8,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,2470,False,2,80152,1984,2.16589,0.78063,2.16589,0.78063,1,-0.17982
2,9,9,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,1991,False,2,85557,1851,-1.66607,1.68452,-1.66607,1.68452,1,-5.31550
2,10,10,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,1689,False,2,91128,1535,1.51798,1.56127,1.51798,1.56127,1,5.80545
2,11,11,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,2358,False,2,96849,1485,-0.20363,2.34190,-0.20363,2.34190,1,-5.03059
