task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,3919,False,2,58974,4137,-1.25881,1.62289,-1.25881,1.62289,1,7.79928
2,2,2,160.00000,-7.51754,2.73616,0,True,150.00000,161.25000,1.25000,3603,False,2,67997,1734,-1.90673,0.76009,-1.90673,0.76009,1,-1.73397
2,3,3,140.00000,-6.12836,5.14230,0,True,130.00000,138.50000,-1.50000,2052,False,2,75169,1501,-1.62905,1.17095,-1.62905,1.17095,1,4.29168
2,4,4,100.00000,-1.38919,7.87846,0,True,90.00000,97.75000,-2.25000,1871,False,2,81408,1385,-0.42577,2.03375,-0.42577,2.03375,1,1.82422
2,5,5,60.00000,4.00000,6.92820,0,True,50.00000,58.25000,-1.75000,1956,False,2,87195,1150,0.83304,1.86941,0.83304,1.86941,1,5.98146
2,6,6,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,2722,False,2,94468,1118,1.25881,1.60235,1.25881,1.60235,1,11.84674
2,7,7,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,2269,False,2,101473,867,0.46280,2.09538,0.46280,2.09538,1,-2.45478
2,8,8,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,2704,False,2,109045,1233,1.75863,1.08878,1.75863,1.08878,1,11.76194
2,9,9,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,2302,False,2,116201,800,1.12923,1.66398,1.12923,1.66398,1,-4.16207
2,10,10,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,2255,False,2,123173,1201,-1.62905,1.19149,-1.62905,1.19149,1,3.81820
2,11,11,160.00000,-7.51754,2.73616,0,True,150.00000,157.50000,-2.50000,2137,False,2,130579,1518,-1.96226,0.49303,-1.96226,0.49303,1,5.89604
2,12,12,80.00000,1.38919,7.87846,0,True,70.00000,78.00000,-2.00000,2150,False,2,138235,817,0.14810,2.01321,0.14810,2.01321,1,5.79267
2,13,13,20.00000,7.51754,2.73616,0,True,10.00000,18.75000,-1.25000,1970,False,2,144740,1368,1.77714,0.96552,1.77714,0.96552,1,8.51523
2,14,14,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,2117,False,2,153196,1451,-1.22179,1.62289,-1.22179,1.62289,1,6.97420
2,15,15,100.00000,-1.38919,7.87846,0,True,90.00000,98.75000,-1.25000,1983,False,2,160502,817,-0.83304,1.86941,-0.83304,1.86941,1,14.01854
2,16,16,40.00000,6.12836,5.14230,0,True,30.00000,37.00000,-3.00000,1606,False,2,166156,883,1.44393,1.52018,1.44393,1.52018,1,6.47358
2,17,17,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,1970,False,2,173395,1251,-1.90673,0.63683,-1.90673,0.63683,1,1.53116
2,18,18,120.00000,-4.00000,6.92820,0,True,110.00000,118.50000,-1.50000,1769,False,2,180534,1284,-1.42542,1.45855,-1.42542,1.45855,1,14.34184
2,19,19,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,1904,False,2,186406,851,-1.70310,1.25312,-1.70310,1.25312,1,3.65482
2,20,20,100.00000,-1.38919,7.87846,0,True,90.00000,98.75000,-1.25000,2007,False,2,192193,1000,-0.64792,1.93104,-0.64792,1.93104,1,8.54810
2,21,21,60.00000,4.00000,6.92820,0,True,50.00000,57.75000,-2.25000,2106,False,2,198415,934,0.77750,1.91050,0.77750,1.91050,1,7.85557
2,22,22,40.00000,6.12836,5.14230,0,True,30.00000,37.25000,-2.75000,1770,False,2,205604,2018,1.42542,1.45855,1.42542,1.45855,1,5.65816
2,23,23,20.00000,7.51754,2.73616,0,True,10.00000,18.75000,-1.25000,2334,False,2,212776,1001,1.70310,1.06823,1.70310,1.06823,1,12.09704
2,24,24,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,2147,False,2,221449,1000,0.40726,2.05430,0.40726,2.05430,1,-1.21336
3,1,25,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,2420,False,2,228988,1751,-2.09185,0.22597,-1.91977,0.69874,1,13.83459
3,2,26,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3532,False,2,239196,1601,0.37024,1.97212,0.34842,1.97597,1,-0.63278
3,3,27,120.00000,-4.00000,6.92820,0,True,110.00000,117.25000,-2.75000,1751,False,2,245418,1118,-0.98113,1.76669,-1.01028,1.74986,1,-0.95443
3,4,28,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,3520,False,2,254008,1134,1.03667,1.72561,1.00638,1.74310,1,-0.99558
3,5,29,40.00000,6.12836,5.14230,0,True,30.00000,37.25000,-2.75000,2038,False,2,260363,1051,1.44393,1.52018,1.59587,1.33910,1,6.47358
3,6,30,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,1937,False,2,266868,851,-0.33321,1.97212,-0.34730,1.96964,1,-0.40986
3,7,31,140.00000,-6.12836,5.14230,0,True,130.00000,137.50000,-2.50000,4507,False,2,275758,984,-1.74012,1.08878,-1.55726,1.30670,1,7.96609
3,8,32,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,2071,False,2,283764,2368,1.90673,0.76009,1.92797,0.70172,1,1.73397
3,9,33,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,2266,False,2,291186,1217,-1.94375,0.59575,-1.90784,0.69440,1,2.95995
3,10,34,140.00000,-6.12836,5.14230,0,True,130.00000,137.50000,-2.50000,1852,False,2,298325,1651,-1.92524,1.06823,-1.65578,1.38936,1,10.97606
3,11,35,40.00000,6.12836,5.14230,0,True,30.00000,36.75000,-3.25000,1850,False,2,305397,1184,1.27732,1.64344,1.55880,1.30799,1,12.14481
3,12,36,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,2304,False,2,312970,1818,1.27732,1.64344,1.03096,1.78567,1,-7.85519
3,13,37,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2183,False,2,320526,934,-1.20327,2.03375,-1.18146,2.04635,1,0.61072
3,14,38,80.00000,1.38919,7.87846,0,True,70.00000,78.75000,-1.25000,1855,False,2,327248,1535,0.22214,2.01321,0.35098,1.99049,1,3.70339
3,15,39,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,2269,False,2,334203,1384,-0.38875,2.03375,-0.35951,2.03891,1,0.82151
3,16,40,20.00000,7.51754,2.73616,0,True,10.00000,17.75000,-2.25000,1835,False,2,340458,917,1.88821,1.15041,2.03707,0.74143,1,11.35226
4,1,41,100.00000,-1.38919,7.87846,0,True,90.00000,99.00000,-1.00000,1971,False,2,346796,867,-0.83304,1.86941,-0.83304,1.86941,1,14.01854
4,2,42,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1888,False,2,352934,917,0.35173,2.09538,0.35173,2.09538,1,0.47118
4,3,43,140.00000,-6.12836,5.14230,0,True,130.00000,138.00000,-2.00000,1757,False,2,358805,1468,-1.86970,0.94498,-1.86970,0.94498,1,13.18715
4,4,44,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,2150,False,2,367162,1401,1.09220,1.68452,1.09220,1.68452,1,-2.95835
4,5,45,160.00000,-7.51754,2.73616,0,True,150.00000,158.00000,-2.00000,1904,False,2,374050,1951,-2.05482,0.51357,-2.05482,0.51357,1,5.96730
4,6,46,40.00000,6.12836,5.14230,0,True,30.00000,37.50000,-2.50000,1669,False,2,380489,1384,1.48095,1.35584,1.48095,1.35584,1,2.47474
4,7,47,20.00000,7.51754,2.73616,0,True,10.00000,17.25000,-2.75000,1586,False,2,387010,1401,1.85119,0.94498,1.85119,0.94498,1,7.04302
4,8,48,120.00000,-4.00000,6.92820,0,True,110.00000,118.50000,-1.50000,1853,False,2,394466,2001,-1.27732,1.58181,-1.27732,1.58181,1,8.92106
5,1,49,140.00000,-6.12836,5.14230,0,True,130.00000,142.50000,2.50000,6505,False,2,430427,6838,-1.85119,0.88335,-1.85119,0.88335,1,14.49048
5,2,50,20.00000,7.51754,2.73616,0,True,10.00000,17.50000,-2.50000,4738,False,2,441969,2001,4.40583,0.45195,4.40583,0.45195,1,-14.14309
5,3,51,40.00000,6.12836,5.14230,0,True,30.00000,37.50000,-2.50000,3936,False,2,450793,1435,1.44393,1.49964,1.44393,1.49964,1,6.08425
5,4,52,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,1967,False,2,458632,1768,-1.33286,1.52018,-1.33286,1.52018,1,11.24356
5,5,53,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,2250,False,2,466288,1034,0.46280,1.99267,0.46280,1.99267,1,16.92479
5,6,54,80.00000,1.38919,7.87846,0,True,70.00000,79.00000,-1.00000,2605,False,2,474594,2068,0.12958,2.07484,0.12958,2.07484,1,6.42635
5,7,55,160.00000,-7.51754,2.73616,0,True,150.00000,157.50000,-2.50000,2481,False,2,483985,1701,-1.92524,0.65737,-1.92524,0.65737,1,1.14761
5,8,56,100.00000,-1.38919,7.87846,0,True,90.00000,98.50000,-1.50000,2348,False,2,493075,1284,-0.57387,1.93104,-0.57387,1.93104,1,6.55099
5,9,57,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,2238,False,2,500197,1584,-1.99929,0.51357,-1.99929,0.51357,1,5.59356
5,10,58,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,2597,False,2,509388,984,-1.72161,1.17095,-1.72161,1.17095,1,5.77849
5,11,59,40.00000,6.12836,5.14230,0,True,30.00000,37.50000,-2.50000,1820,False,2,516293,1101,1.51798,1.47909,1.51798,1.47909,1,4.25657
5,12,60,100.00000,-1.38919,7.87846,0,True,90.00000,99.00000,-1.00000,2744,False,2,523482,2785,-0.79601,1.86941,-0.79601,1.86941,1,13.06470
5,13,61,60.00000,4.00000,6.92820,0,True,50.00000,58.25000,-1.75000,2148,False,2,530504,1151,1.05518,1.76669,1.05518,1.76669,1,-0.84834
5,14,62,80.00000,1.38919,7.87846,0,True,70.00000,78.25000,-1.75000,2135,False,2,539144,2268,0.11107,2.03375,0.11107,2.03375,1,6.87399
5,15,63,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,2197,False,2,548434,1817,-1.44393,1.56127,-1.44393,1.56127,1,12.76398
5,16,64,20.00000,7.51754,2.73616,0,True,10.00000,18.25000,-1.75000,1680,False,2,555890,1134,2.05482,0.34923,2.05482,0.34923,1,-10.35438
6,1,65,20.00000,7.51754,2.73616,0,True,10.00000,18.00000,-2.00000,4069,False,2,590700,5754,1.94375,0.57520,1.94375,0.57520,1,-3.51531
6,2,66,40.00000,6.12836,5.14230,0,True,30.00000,38.25000,-1.75000,2362,False,2,596955,917,1.86970,1.06823,1.86970,1.06823,1,-10.25905
6,3,67,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,1709,False,2,602092,1050,-1.96226,0.65737,-1.96226,0.65737,1,1.47881
6,4,68,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,1903,False,2,609348,1401,-1.31435,1.54072,-1.31435,1.54072,1,10.46667
6,5,69,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,1703,False,2,615936,1467,-1.74012,1.02715,-1.74012,1.02715,1,9.44769
6,6,70,60.00000,4.00000,6.92820,0,True,50.00000,58.50000,-1.50000,1669,False,2,621791,901,1.05518,1.78724,1.05518,1.78724,1,-0.55745
6,7,71,100.00000,-1.38919,7.87846,0,True,90.00000,99.00000,-1.00000,1673,False,2,627278,1234,-0.40726,2.07484,-0.40726,2.07484,1,1.10512
6,8,72,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,2088,False,2,633033,651,0.25917,2.13647,0.25917,2.13647,1,3.08338
6,9,73,80.00000,1.38919,7.87846,0,True,70.00000,77.75000,-2.25000,1574,False,2,639321,2002,0.42577,1.97212,0.42577,1.97212,1,-2.18286
6,10,74,20.00000,7.51754,2.73616,0,True,10.00000,18.50000,-1.50000,1737,False,2,644592,884,1.74012,1.12986,1.74012,1.12986,1,12.99567
6,11,75,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,1957,False,2,650746,1350,-1.29583,1.78724,-1.29583,1.78724,1,5.94381
6,12,76,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,1853,False,2,656701,834,1.03667,1.86941,1.03667,1.86941,1,0.98971
6,13,77,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1973,False,2,663990,2636,-0.16661,2.03375,-0.16661,2.03375,1,-5.31664
6,14,78,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,1999,False,2,670195,801,-2.03631,0.45195,-2.03631,0.45195,1,7.48630
6,15,79,140.00000,-6.12836,5.14230,0,True,130.00000,138.00000,-2.00000,1952,False,2,678985,2535,-6.27554,3.08144,-6.27554,3.08144,1,13.84786
6,16,80,40.00000,6.12836,5.14230,0,True,30.00000,37.75000,-2.25000,1629,False,2,686874,1468,1.44393,1.39692,1.44393,1.39692,1,4.05196
7,1,81,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,2868,False,2,780346,3536,0.38875,2.03375,0.38875,2.03375,1,-0.82151
7,2,82,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,2345,False,2,786751,1235,1.61054,1.25312,1.61054,1.25312,1,17.88557
7,3,83,40.00000,6.12836,5.14230,0,True,30.00000,37.75000,-2.25000,1686,False,2,793423,1235,1.53649,1.35584,1.53649,1.35584,1,1.42605
7,4,84,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,2491,False,2,799644,1267,-0.72196,1.91050,-0.72196,1.91050,1,10.70111
7,5,85,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,1672,False,2,805565,1451,-1.11071,1.68452,-1.11071,1.68452,1,3.39938
7,6,86,160.00000,-7.51754,2.73616,0,True,150.00000,158.00000,-2.00000,1655,False,2,811169,1217,-1.98077,0.45195,-1.98077,0.45195,1,7.14692
7,7,87,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,1882,False,2,821428,3220,-1.79565,0.96552,-1.79565,0.96552,1,11.73311
7,8,88,60.00000,4.00000,6.92820,0,True,50.00000,57.25000,-2.75000,1764,False,2,827198,1351,0.96262,1.88995,0.96262,1.88995,1,3.00861
8,1,89,160.00000,-7.51754,2.73616,-50,True,150.00000,158.00000,-2.00000,1705,False,2,833169,1400,-1.94375,0.47249,-0.88747,1.79271,1,6.33743
8,2,90,20.00000,7.51754,2.73616,-50,True,10.00000,19.50000,-0.50000,1980,False,2,842727,2135,1.03667,1.74615,2.00399,0.32827,1,39.30286
8,3,91,60.00000,4.00000,6.92820,-50,True,50.00000,59.25000,-0.75000,1999,False,2,850233,1534,-0.70345,1.91050,1.01135,1.76692,1,50.21381
8,4,92,100.00000,-1.38919,7.87846,-50,True,90.00000,99.75000,-0.25000,1995,False,2,860274,1368,-1.68458,1.10932,-0.23304,2.00352,1,46.63453
8,5,93,80.00000,1.38919,7.87846,-50,True,70.00000,79.75000,-0.25000,2147,False,2,870398,2101,-1.70310,1.10932,-0.24494,2.01770,1,66.92165
8,6,94,40.00000,6.12836,5.14230,-50,True,30.00000,60.75000,20.75000,35035,False,2,916617,4470,-0.24065,2.03375,1.40326,1.49162,1,56.74833
8,7,95,140.00000,-6.12836,5.14230,-50,True,130.00000,158.00000,18.00000,6863,False,2,930077,1501,-2.01780,-0.16434,-1.42291,1.44008,1,44.65619
