task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,80.00000,1.38919,7.87846,0,True,70.00000,78.75000,-1.25000,1334,False,2,67056,3603,0.35173,1.97212,0.35173,1.97212,1,-0.11244
2,2,2,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,1214,False,2,71676,1368,-1.83268,0.88335,-1.83268,0.88335,1,-5.73402
2,3,3,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,1158,False,2,76363,1835,1.51798,1.37638,1.51798,1.37638,1,2.19917
2,4,4,100.00000,-1.38919,7.87846,0,True,90.00000,101.50000,1.50000,1290,False,2,80950,1484,-0.40726,2.25973,-0.40726,2.25973,1,0.21646
2,5,5,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,1139,False,2,85553,1234,1.94375,0.90389,1.94375,0.90389,1,4.93955
2,6,6,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,1108,False,2,89973,1534,-1.61054,1.31475,-1.61054,1.31475,1,0.77382
2,7,7,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,1174,False,2,93843,717,1.29583,1.58181,1.29583,1.58181,1,-9.32458
2,8,8,120.00000,-4.00000,6.92820,0,True,110.00000,121.25000,1.25000,1410,False,2,97946,850,-1.11071,1.76669,-1.11071,1.76669,1,2.15739
2,9,9,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,1193,False,2,101599,784,1.79565,1.49964,1.79565,1.49964,1,-0.13300
2,10,10,20.00000,7.51754,2.73616,0,True,10.00000,18.75000,-1.25000,1160,False,2,105419,767,2.01780,0.84226,2.01780,0.84226,1,2.65639
2,11,11,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,1175,False,2,110039,1384,0.64792,2.17755,0.64792,2.17755,1,-6.57013
2,12,12,100.00000,-1.38919,7.87846,0,True,90.00000,101.25000,1.25000,1272,False,2,114859,1367,-0.49982,2.23918,-0.49982,2.23918,1,2.58304
2,13,13,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,1056,False,2,118679,817,-2.12887,0.67792,-2.12887,0.67792,1,2.33638
2,14,14,140.00000,-6.12836,5.14230,0,True,130.00000,140.50000,0.50000,1257,False,2,123232,800,-2.01780,0.84226,-2.01780,0.84226,1,17.34361
2,15,15,120.00000,-4.00000,6.92820,0,True,110.00000,121.75000,1.75000,1292,False,2,127235,817,-1.31435,1.82832,-1.31435,1.82832,1,5.71175
2,16,16,60.00000,4.00000,6.92820,0,True,50.00000,60.50000,0.50000,1228,False,2,130705,767,1.35137,1.72561,1.35137,1.72561,1,-8.06542
2,17,17,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,1193,False,2,134408,784,-1.94375,0.65737,-1.94375,0.65737,1,1.31463
2,18,18,20.00000,7.51754,2.73616,0,True,10.00000,18.50000,-1.50000,1183,False,2,150670,750,2.05482,0.71900,2.05482,0.71900,1,-0.71460
2,19,19,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,1129,False,2,153973,700,1.61054,1.21203,1.61054,1.21203,1,-3.03630
2,20,20,120.00000,-4.00000,6.92820,0,True,110.00000,120.75000,0.75000,1111,False,2,157576,801,-1.20327,1.72561,-1.20327,1.72561,1,4.88811
2,21,21,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,1127,False,2,161228,733,1.07369,2.01321,1.07369,2.01321,1,1.92800
2,22,22,100.00000,-1.38919,7.87846,0,True,90.00000,100.75000,0.75000,1226,False,2,166416,2202,-0.40726,2.05430,-0.40726,2.05430,1,1.21336
2,23,23,140.00000,-6.12836,5.14230,0,True,130.00000,140.75000,0.75000,1121,False,2,170135,617,-1.74012,1.12986,-1.74012,1.12986,1,7.00433
2,24,24,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,1125,False,2,173972,567,0.25917,2.11593,0.25917,2.11593,1,3.01690
3,1,25,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,1109,False,2,177992,601,0.51833,2.01321,0.35991,2.04114,1,-4.43805
3,2,26,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,1292,False,2,182361,817,-0.31470,2.15701,-0.37836,2.14579,1,-1.69932
3,3,27,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,1051,False,2,187432,1935,1.24030,1.70507,1.04839,1.81586,1,-6.03285
3,4,28,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,1155,False,2,192286,1685,-1.01815,1.84887,-1.05512,1.82752,1,-1.15896
3,5,29,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,1023,False,2,195639,567,-1.94375,0.57520,-1.90124,0.69200,1,3.51531
3,6,30,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,1059,False,2,200442,1951,-1.74012,1.08878,-1.55726,1.30670,1,7.96609
3,7,31,20.00000,7.51754,2.73616,0,True,10.00000,18.25000,-1.75000,1139,False,2,204745,1300,2.07333,0.96552,2.14111,0.77930,1,4.97072
3,8,32,40.00000,6.12836,5.14230,0,True,30.00000,38.25000,-1.75000,1009,False,2,208565,767,2.01780,1.35584,1.85171,1.55377,1,-6.10128
3,9,33,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,1193,False,2,212251,667,-1.24030,1.72561,-1.05728,1.83127,1,5.70708
3,10,34,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,992,False,2,215871,634,-1.66607,1.17095,-1.55427,1.30419,1,4.89962
3,11,35,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,1192,False,2,219874,767,1.03667,1.82832,1.05085,1.82013,1,0.44647
3,12,36,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,1044,False,2,223310,734,-0.61089,1.93104,-0.34865,1.97728,1,7.55492
3,13,37,80.00000,1.38919,7.87846,0,True,70.00000,78.75000,-1.25000,1043,False,2,226896,717,0.33321,1.97212,0.34730,1.96964,1,0.40986
3,14,38,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,1044,False,2,230015,534,1.99929,1.12986,2.12854,0.77473,1,9.47212
3,15,39,40.00000,6.12836,5.14230,0,True,30.00000,38.25000,-1.75000,962,False,2,233167,599,1.68458,1.15041,1.55502,1.30482,1,-5.67059
3,16,40,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,1048,False,2,236587,784,-2.09185,0.36977,-1.96599,0.71556,1,9.97555
4,1,41,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1093,False,2,240306,733,0.37024,2.25973,0.37024,2.25973,1,0.69518
4,2,42,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,1109,False,2,244476,900,-1.33286,1.84887,-1.33286,1.84887,1,5.78803
4,3,43,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,1074,False,2,248630,667,-1.61054,1.27366,-1.61054,1.27366,1,1.66207
4,4,44,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,1025,False,2,252683,702,0.88857,1.84887,0.88857,1.84887,1,4.33098
4,5,45,40.00000,6.12836,5.14230,0,True,30.00000,38.25000,-1.75000,1043,False,2,256202,667,1.59202,1.64344,1.59202,1.64344,1,5.91050
4,6,46,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,995,False,2,260772,2018,1.98077,0.86280,1.98077,0.86280,1,3.53737
4,7,47,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1055,False,2,265159,1685,-0.35173,2.23918,-0.35173,2.23918,1,-1.07293
4,8,48,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,940,False,2,268478,734,-1.90673,0.67792,-1.90673,0.67792,1,0.42763
5,1,49,100.00000,-1.38919,7.87846,0,True,90.00000,101.75000,1.75000,3652,False,2,301120,8523,-0.57387,1.99267,-0.57387,1.99267,1,6.06590
5,2,50,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,1974,False,2,306791,1584,1.94375,0.61629,1.94375,0.61629,1,-2.40814
5,3,51,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,1188,False,2,311645,917,-1.27732,1.70507,-1.27732,1.70507,1,6.83800
5,4,52,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,1305,False,2,316765,750,1.25881,1.76669,1.25881,1.76669,1,-5.47081
5,5,53,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,1025,False,2,320835,717,0.35173,2.11593,0.35173,2.11593,1,0.56205
5,6,54,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,1077,False,2,324271,750,-2.05482,0.82172,-2.05482,0.82172,1,-1.79641
5,7,55,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,1075,False,2,328224,850,2.07333,1.02715,2.07333,1.02715,1,-13.64569
5,8,56,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,1090,False,2,332911,817,-1.44393,1.54072,-1.44393,1.54072,1,-6.85741
5,9,57,20.00000,7.51754,2.73616,0,True,10.00000,18.50000,-1.50000,1024,False,2,337114,783,1.96226,0.73955,1.96226,0.73955,1,0.65077
5,10,58,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,1092,False,2,341068,651,0.77750,1.88995,0.77750,1.88995,1,-12.36161
5,11,59,160.00000,-7.51754,2.73616,0,True,150.00000,160.50000,0.50000,1060,False,2,344570,700,-1.96226,0.88335,-1.96226,0.88335,1,-4.23583
5,12,60,140.00000,-6.12836,5.14230,0,True,130.00000,140.50000,0.50000,1156,False,2,349190,783,-1.86970,1.43801,-1.86970,1.43801,1,2.43566
5,13,61,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,1077,False,2,352677,767,1.25881,1.56127,1.25881,1.56127,1,-8.87830
5,14,62,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,1042,False,2,356363,684,-0.31470,2.15701,-0.31470,2.15701,1,-1.69932
5,15,63,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,1078,False,2,359599,684,-1.25881,1.88995,-1.25881,1.88995,1,3.66578
5,16,64,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,910,False,2,364986,2686,1.79565,1.17095,1.79565,1.17095,1,-6.89148
6,1,65,60.00000,4.00000,6.92820,0,True,50.00000,61.00000,1.00000,1718,False,2,387136,1783,0.94411,2.19810,0.94411,2.19810,1,6.75590
