task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,5321,False,2,66365,2485,-1.72161,1.12986,-1.72161,1.12986,1,6.72387
2,2,2,20.00000,7.51754,2.73616,0,True,10.00000,19.00000,-1.00000,4773,False,2,79892,917,1.88821,0.96552,1.88821,0.96552,1,7.08254
2,3,3,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,3930,False,2,86314,817,-1.55500,1.31475,-1.55500,1.31475,1,19.78553
2,4,4,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,4044,False,2,94120,1618,-0.53685,2.11593,-0.53685,2.11593,1,4.23657
2,5,5,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,4093,False,2,100992,851,0.29619,2.11593,0.29619,2.11593,1,2.03146
2,6,6,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,4396,False,2,109415,2235,1.22179,1.76669,1.22179,1.76669,1,-4.66658
2,7,7,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,3758,False,2,115737,784,1.51798,1.35584,1.51798,1.35584,1,1.77081
2,8,8,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,4477,False,2,124176,1584,-2.22143,0.32869,-2.22143,0.32869,1,11.58340
2,9,9,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,4984,False,2,136669,1951,-1.99929,0.32869,-1.99929,0.32869,1,10.66390
2,10,10,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,3972,False,2,144792,1367,1.98077,0.57520,1.98077,0.57520,1,-3.80712
2,11,11,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,4974,False,2,154583,1768,-1.33286,1.82832,-1.33286,1.82832,1,6.09235
2,12,12,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,3992,False,2,161522,834,0.83304,2.11593,0.83304,2.11593,1,8.51048
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,4313,False,2,168978,1368,-0.55536,2.17755,-0.55536,2.17755,1,4.30765
2,14,14,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,4327,False,2,176467,1518,1.57351,1.49964,1.57351,1.49964,1,3.62303
2,15,15,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,3591,False,2,182855,817,0.37024,2.05430,0.37024,2.05430,1,-0.21656
2,16,16,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,3113,False,2,188943,1401,-1.74012,1.29421,-1.74012,1.29421,1,3.36006
2,17,17,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,5693,False,2,198951,1952,0.25917,2.17755,0.25917,2.17755,1,3.21264
2,18,18,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,5242,False,2,207607,1601,1.74012,0.98606,1.74012,0.98606,1,9.53858
2,19,19,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,4158,False,2,215430,1668,0.98113,1.78724,0.98113,1.78724,1,1.23481
2,20,20,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,4160,False,2,222152,817,-0.70345,2.25973,-0.70345,2.25973,1,7.29127
2,21,21,160.00000,-7.51754,2.73616,0,True,150.00000,160.25000,0.25000,3597,False,2,228991,1735,-2.16589,0.63683,-2.16589,0.63683,1,3.61524
2,22,22,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,3719,False,2,237580,917,1.59202,1.54072,1.59202,1.54072,1,4.06184
2,23,23,120.00000,-4.00000,6.92820,0,True,110.00000,118.50000,-1.50000,3328,False,2,243769,1168,-1.18476,1.86941,-1.18476,1.86941,1,2.36495
2,24,24,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,6162,False,2,253360,1418,-1.77714,1.06823,-1.77714,1.06823,1,8.99013
3,1,25,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,4220,False,2,260298,800,1.86970,0.98606,1.96790,0.71626,1,7.80669
3,2,26,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,3379,False,2,266186,901,-0.66643,2.17755,-0.39248,2.22586,1,7.01651
3,3,27,40.00000,6.12836,5.14230,0,True,30.00000,40.00000,0.00000,4447,False,2,273975,1768,1.33286,1.64344,1.59139,1.33533,1,10.95731
3,4,28,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,5828,False,2,282498,917,0.01851,2.19810,0.37645,2.13498,1,9.51753
3,5,29,140.00000,-6.12836,5.14230,0,True,130.00000,137.50000,-2.50000,4712,False,2,289887,850,-1.94375,1.15041,-1.70710,1.43243,1,9.38080
3,6,30,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,4098,False,2,297360,1935,-2.11036,0.65737,-2.07477,0.75515,1,2.69837
3,7,31,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,3141,False,2,303865,1468,-1.14774,1.74615,-1.04304,1.80660,1,3.31682
3,8,32,60.00000,4.00000,6.92820,0,True,50.00000,60.75000,0.75000,3036,False,2,309636,1301,1.07369,1.95158,1.11348,1.92861,1,1.18197
3,9,33,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,4628,False,2,317225,1367,-2.05482,0.73955,-2.05214,0.74692,1,0.20570
3,10,34,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,3245,False,2,322646,784,-1.40690,1.76669,-1.11673,1.93423,1,8.53199
3,11,35,60.00000,4.00000,6.92820,0,True,50.00000,60.25000,0.25000,3512,False,2,328534,750,0.49982,2.23918,1.09455,1.89582,1,17.41696
3,12,36,140.00000,-6.12836,5.14230,0,True,130.00000,138.00000,-2.00000,2781,False,2,333288,767,-1.61054,1.39692,-1.63295,1.37021,1,-0.93710
3,13,37,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,3949,False,2,339225,833,-0.37024,2.07484,-0.36598,2.07559,1,0.11752
3,14,38,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,3498,False,2,344813,817,1.75863,1.31475,1.67939,1.40918,1,-3.21825
3,15,39,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,3131,False,2,350067,784,0.09256,2.21864,0.38220,2.16757,1,7.61105
3,16,40,20.00000,7.51754,2.73616,0,True,10.00000,19.25000,-0.75000,2914,False,2,355171,817,1.77714,1.04769,1.90598,0.69372,1,10.52093
4,1,41,20.00000,7.51754,2.73616,0,True,10.00000,18.75000,-1.25000,2312,False,2,359741,800,1.85119,0.94498,1.85119,0.94498,1,7.04302
4,2,42,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,2427,False,2,364829,684,0.03702,2.05430,0.03702,2.05430,1,8.96760
4,3,43,40.00000,6.12836,5.14230,0,True,30.00000,40.50000,0.50000,3213,False,2,371183,1551,1.77714,1.31475,1.77714,1.31475,1,-3.50551
4,4,44,120.00000,-4.00000,6.92820,0,True,110.00000,117.50000,-2.50000,2410,False,2,375787,834,-1.05518,1.93104,-1.05518,1.93104,1,-1.34644
4,5,45,100.00000,-1.38919,7.87846,0,True,90.00000,98.75000,-1.25000,2711,False,2,381641,1367,-0.49982,2.13647,-0.49982,2.13647,1,3.16734
4,6,46,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,3208,False,2,389030,1951,-2.16589,0.43140,-2.16589,0.43140,1,8.73530
4,7,47,140.00000,-6.12836,5.14230,0,True,130.00000,138.50000,-1.50000,5008,False,2,397537,1451,-2.03631,1.10932,-2.03631,1.10932,1,11.41979
4,8,48,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,4078,False,2,404793,1635,1.01815,1.82832,1.01815,1.82832,1,0.88756
5,1,49,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,10558,False,2,450995,10291,-0.48131,1.99267,-0.48131,1.99267,1,3.57915
5,2,50,60.00000,4.00000,6.92820,0,True,50.00000,59.00000,-1.00000,4552,False,2,460019,1084,1.46244,1.49964,1.46244,1.49964,1,-14.28047
5,3,51,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,5276,False,2,468992,1017,0.92560,1.84887,0.92560,1.84887,1,-16.59393
5,4,52,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,3439,False,2,476615,1018,-1.35137,1.58181,-1.35137,1.58181,1,10.50789
5,5,53,140.00000,-6.12836,5.14230,0,True,130.00000,138.25000,-1.75000,3160,False,2,484321,2502,-1.70310,1.25312,-1.70310,1.25312,1,3.65482
5,6,54,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,3505,False,2,491293,1585,-2.11036,0.71900,-2.11036,0.71900,1,1.18601
5,7,55,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,3172,False,2,497864,833,2.11036,0.47249,2.11036,0.47249,1,-7.38013
5,8,56,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,3377,False,2,504987,1618,1.85119,1.19149,1.85119,1.19149,1,-7.23326
5,9,57,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,2985,False,2,512643,1018,1.86970,0.73955,1.86970,0.73955,1,1.58101
5,10,58,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,3445,False,2,519097,1401,-1.24030,1.68452,-1.24030,1.68452,1,6.36395
5,11,59,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,3142,False,2,525636,1401,0.42577,2.13647,0.42577,2.13647,1,-1.27063
5,12,60,40.00000,6.12836,5.14230,0,True,30.00000,40.25000,0.25000,2793,False,2,531174,951,1.72161,1.29421,1.72161,1.29421,1,-3.06620
5,13,61,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,3079,False,2,536744,933,-0.70345,1.93104,-0.70345,1.93104,1,10.01595
5,14,62,140.00000,-6.12836,5.14230,0,True,130.00000,138.50000,-1.50000,2911,False,2,543016,1701,-1.70310,1.06823,-1.70310,1.06823,1,7.90296
5,15,63,160.00000,-7.51754,2.73616,0,True,150.00000,158.00000,-2.00000,5225,False,2,551689,1467,-1.85119,0.80118,-1.85119,0.80118,1,-3.40257
5,16,64,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,3125,False,2,557744,1101,1.20327,1.84887,1.20327,1.84887,1,-3.05663
6,1,65,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,4470,False,2,588284,4220,0.27768,2.09538,0.27768,2.09538,1,2.45114
6,2,66,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,3135,False,2,593889,1318,-2.05482,0.39032,-2.05482,0.39032,1,9.24461
6,3,67,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,4209,False,2,601461,1184,1.68458,1.37638,1.68458,1.37638,1,-0.74958
6,4,68,60.00000,4.00000,6.92820,0,True,50.00000,60.50000,0.50000,3641,False,2,608233,867,0.99964,1.80778,0.99964,1.80778,1,1.05892
6,5,69,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,3662,False,2,615122,1368,-0.59238,1.97212,-0.59238,1.97212,1,6.71907
6,6,70,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,4526,False,2,622861,1318,1.92524,0.86280,1.92524,0.86280,1,4.13963
6,7,71,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,2727,False,2,628448,1284,-1.38839,1.45855,-1.38839,1.45855,1,13.58829
6,8,72,140.00000,-6.12836,5.14230,0,True,130.00000,138.50000,-1.50000,2528,False,2,633519,1218,-1.68458,1.43801,-1.68458,1.43801,1,-0.48510
6,9,73,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,2777,False,2,638873,1217,0.49982,2.09538,0.49982,2.09538,1,-3.41630
6,10,74,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,2827,False,2,645178,1934,1.62905,1.39692,1.62905,1.39692,1,0.61328
6,11,75,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,3308,False,2,651183,1234,-0.92560,2.03375,-0.92560,2.03375,1,14.47122
6,12,76,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,2978,False,2,657337,1634,-1.66607,1.25312,-1.66607,1.25312,1,3.05166
6,13,77,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,3024,False,2,663692,1200,-1.98077,0.78063,-1.98077,0.78063,1,-1.50961
6,14,78,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,2743,False,2,669747,1251,-1.38839,1.70507,-1.38839,1.70507,1,9.15495
6,15,79,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,3211,False,2,675885,1318,1.22179,1.76669,1.22179,1.76669,1,-4.66658
6,16,80,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,3643,False,2,683141,1685,2.05482,0.71900,2.05482,0.71900,1,-0.71460
7,1,81,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,3620,False,2,794860,2068,2.03631,0.76009,2.03631,0.76009,1,0.46901
7,2,82,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,4258,False,2,802533,1535,1.09220,1.78724,1.09220,1.78724,1,-1.42951
7,3,83,140.00000,-6.12836,5.14230,0,True,130.00000,138.00000,-2.00000,2152,False,2,808737,1234,-1.68458,1.33529,-1.68458,1.33529,1,1.59774
7,4,84,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,1902,False,2,813524,617,-2.01780,0.61629,-2.01780,0.61629,1,3.01593
7,5,85,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,4291,False,2,821781,934,0.27768,2.15701,0.27768,2.15701,1,2.66444
7,6,86,120.00000,-4.00000,6.92820,0,True,110.00000,118.25000,-1.75000,3194,False,2,828453,1318,-1.16625,1.74615,-1.16625,1.74615,1,3.73888
7,7,87,100.00000,-1.38919,7.87846,0,True,90.00000,100.25000,0.25000,2557,False,2,834424,817,-0.44429,2.21864,-0.44429,2.21864,1,1.32389
7,8,88,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,1760,False,2,838944,917,1.72161,1.21203,1.72161,1.21203,1,-4.85409
8,1,89,20.00000,7.51754,2.73616,-60,True,10.00000,20.00000,0.00000,2311,False,2,843648,701,1.88821,1.04769,1.85143,-1.11140,1,9.02409
8,2,90,160.00000,-7.51754,2.73616,-60,True,150.00000,158.75000,-1.25000,4478,False,2,858693,1852,-1.75863,1.06823,0.04580,2.05714,1,-11.27540
8,3,91,40.00000,6.12836,5.14230,-60,True,30.00000,39.25000,-0.75000,3505,False,2,874421,2435,0.40726,2.03375,1.96491,0.66418,1,38.67625
8,4,92,120.00000,-4.00000,6.92820,-60,True,110.00000,119.25000,-0.75000,2501,False,2,881860,1000,-0.72196,1.93104,1.31135,1.59076,1,-9.50068
8,5,93,60.00000,4.00000,6.92820,-60,True,50.00000,60.00000,0.00000,2208,False,2,893403,1068,-0.81452,1.82832,1.17611,1.61956,1,54.01306
8,6,94,140.00000,-6.12836,5.14230,-60,True,130.00000,139.00000,-1.00000,2037,False,2,908698,1701,-1.85119,1.00661,-0.05385,2.10648,1,11.46426
8,7,95,100.00000,-1.38919,7.87846,-60,True,90.00000,99.75000,-0.25000,2677,False,2,920107,1201,-1.42542,1.43801,0.53264,1.95345,1,34.74808
8,8,96,80.00000,1.38919,7.87846,-60,True,70.00000,80.00000,0.00000,2095,False,2,930264,1134,-0.79601,1.84887,1.20316,1.61380,1,33.29375
8,9,97,60.00000,4.00000,6.92820,-60,True,50.00000,60.00000,0.00000,2280,False,2,940689,1067,-1.24030,1.62289,0.78532,1.88558,1,67.38901
8,10,98,20.00000,7.51754,2.73616,-60,True,10.00000,20.25000,0.25000,3935,False,2,950213,1218,0.55536,1.95158,1.96780,0.49484,1,54.11527
8,11,99,140.00000,-6.12836,5.14230,-60,True,130.00000,138.75000,-1.25000,2635,False,2,958436,800,-2.05482,0.63683,-0.47590,2.09794,1,22.78074
8,12,100,100.00000,-1.38919,7.87846,-60,True,90.00000,100.00000,0.00000,5523,False,2,969578,2001,-1.49946,1.43801,0.49562,2.01758,1,36.19842
8,13,101,40.00000,6.12836,5.14230,-60,True,30.00000,38.50000,-1.50000,2380,False,2,979369,1051,-0.59238,2.03375,1.46509,1.52989,1,66.23951
8,14,102,120.00000,-4.00000,6.92820,-60,True,110.00000,118.75000,-1.25000,2697,False,2,990444,2568,-1.57351,1.27366,0.31627,1.99953,1,21.01195
8,15,103,80.00000,1.38919,7.87846,-60,True,70.00000,79.75000,-0.25000,2042,False,2,1001352,1484,-1.38839,1.54072,0.64011,1.97274,1,52.02298
8,16,104,160.00000,-7.51754,2.73616,-60,True,150.00000,160.25000,0.25000,2403,False,2,1009642,1684,-1.96226,-0.39032,-1.31915,1.50421,1,31.25006
8,17,105,140.00000,-6.12836,5.14230,-60,True,130.00000,138.75000,-1.25000,2051,False,2,1017131,1200,-2.05482,-0.02054,-1.04520,1.76926,1,40.57271
8,18,106,20.00000,7.51754,2.73616,-60,True,10.00000,19.25000,-0.75000,2236,False,2,1024854,1101,1.42542,1.45855,1.97585,-0.50517,1,25.65816
8,19,107,80.00000,1.38919,7.87846,-60,True,70.00000,80.00000,0.00000,2366,False,2,1033694,984,-0.81452,1.82832,1.17611,1.61956,1,34.01306
8,20,108,160.00000,-7.51754,2.73616,-60,True,150.00000,159.00000,-1.00000,2669,False,2,1042368,1452,-1.86970,-0.84226,-1.66427,1.19808,1,44.25055
8,21,109,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2676,False,2,1054427,1051,-1.85119,0.92443,-0.12501,2.06539,1,53.46380
8,22,110,60.00000,4.00000,6.92820,-60,True,50.00000,60.00000,0.00000,2729,False,2,1067020,2152,-0.38875,1.99267,1.53133,1.33300,1,41.03918
8,23,111,120.00000,-4.00000,6.92820,-60,True,110.00000,118.75000,-1.25000,1983,False,2,1074042,1101,-1.99929,0.47249,-0.59046,1.96768,1,46.70331
8,24,112,40.00000,6.12836,5.14230,-60,True,30.00000,39.50000,-0.50000,2169,False,2,1081531,1101,0.40726,2.09538,2.01829,0.69499,1,39.00107
8,25,113,20.00000,7.51754,2.73616,-60,True,10.00000,20.00000,0.00000,2536,False,2,1090588,1551,1.24030,1.62289,2.02562,-0.26268,1,32.61099
8,26,114,40.00000,6.12836,5.14230,-60,True,30.00000,39.25000,-0.75000,2255,False,2,1097460,1218,0.44429,1.95158,1.91226,0.59103,1,37.17482
8,27,115,100.00000,-1.38919,7.87846,-60,True,90.00000,99.75000,-0.25000,2468,False,2,1105883,1684,-1.90673,0.71900,-0.33069,2.01078,1,59.33927
8,28,116,120.00000,-4.00000,6.92820,-60,True,110.00000,120.00000,0.00000,2150,False,2,1114189,1501,-2.03631,0.71900,-0.39548,2.12300,1,40.55240
8,29,117,80.00000,1.38919,7.87846,-60,True,70.00000,80.00000,0.00000,2654,False,2,1121045,951,-1.03667,1.72561,0.97609,1.76058,1,40.99558
8,30,118,140.00000,-6.12836,5.14230,-60,True,130.00000,139.50000,-0.50000,1852,False,2,1127850,867,-2.01780,-0.14380,-1.13343,1.67556,1,44.07633
8,31,119,160.00000,-7.51754,2.73616,-60,True,150.00000,158.50000,-1.50000,4302,False,2,1138041,1100,-1.98077,-0.30814,-1.25725,1.56133,1,28.84239
8,32,120,60.00000,4.00000,6.92820,-60,True,50.00000,59.50000,-0.50000,4086,False,2,1155121,1084,-0.74048,1.86941,1.24872,1.57598,1,51.60870
8,33,121,140.00000,-6.12836,5.14230,-60,True,130.00000,138.75000,-1.25000,2034,False,2,1162827,1051,-1.90673,-0.67792,-1.54046,1.31231,1,59.57237
8,34,122,100.00000,-1.38919,7.87846,-60,True,90.00000,100.25000,0.25000,2938,False,2,1170299,1334,-1.99929,0.16434,-0.85732,1.81360,1,75.30090
8,35,123,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,2404,False,2,1178205,2151,0.96262,1.80778,2.04689,0.07024,1,41.96526
8,36,124,120.00000,-4.00000,6.92820,-60,True,110.00000,118.25000,-1.75000,2297,False,2,1187746,1918,-2.03631,0.28760,-0.76908,1.90730,1,51.96095
8,37,125,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,5123,False,2,1197370,1767,-0.44429,2.03375,1.53914,1.40164,1,42.32315
8,38,126,160.00000,-7.51754,2.73616,-60,True,150.00000,158.75000,-1.25000,2154,False,2,1203292,801,-2.07333,-0.47249,-1.44585,1.55932,1,32.83786
8,39,127,40.00000,6.12836,5.14230,-60,True,30.00000,40.00000,0.00000,2399,False,2,1212499,934,1.24030,1.68452,2.07899,-0.23187,1,13.63605
8,40,128,80.00000,1.38919,7.87846,-60,True,70.00000,79.75000,-0.25000,2518,False,2,1223924,3436,-0.61089,1.97212,1.40246,1.51511,1,27.21105
8,41,129,140.00000,-6.12836,5.14230,-60,True,130.00000,138.25000,-1.75000,2450,False,2,1230546,1702,-2.01780,0.34923,-0.70646,1.92208,1,30.18083
8,42,130,20.00000,7.51754,2.73616,-60,True,10.00000,19.00000,-1.00000,2822,False,2,1237217,1000,1.35137,1.60235,2.06336,-0.36914,1,29.85680
8,43,131,100.00000,-1.38919,7.87846,-60,True,90.00000,99.75000,-0.25000,3009,False,2,1244473,1818,-1.31435,1.56127,0.69492,1.91889,1,30.09224
8,44,132,80.00000,1.38919,7.87846,-60,True,70.00000,79.75000,-0.25000,1952,False,2,1250711,1017,-1.05518,1.76669,1.00241,1.79716,1,40.84834
8,45,133,40.00000,6.12836,5.14230,-60,True,30.00000,38.50000,-1.50000,2104,False,2,1256816,934,0.31470,2.01321,1.90084,0.73406,1,41.11556
8,46,134,160.00000,-7.51754,2.73616,-60,True,150.00000,159.00000,-1.00000,1938,False,2,1262821,634,-1.86970,-0.78063,-1.61090,1.22889,1,42.66133
8,47,135,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,2748,False,2,1273712,2285,-0.90708,1.80778,1.11204,1.68945,1,56.64588
8,48,136,120.00000,-4.00000,6.92820,-60,True,110.00000,118.25000,-1.75000,2400,False,2,1282453,2819,-1.92524,0.86280,-0.21541,2.09871,1,35.86037
8,49,137,80.00000,1.38919,7.87846,-60,True,70.00000,80.25000,0.25000,3119,False,2,1290726,2185,-1.25881,1.66398,0.81164,1.92215,1,47.10771
8,50,138,60.00000,4.00000,6.92820,-60,True,50.00000,59.75000,-0.25000,1913,False,2,1299582,883,-0.53685,1.99267,1.45728,1.46126,1,45.07819
8,51,139,140.00000,-6.12836,5.14230,-60,True,130.00000,139.00000,-1.00000,3458,False,2,1307472,1718,-2.01780,0.69846,-0.40401,2.09669,1,20.90674
8,52,140,20.00000,7.51754,2.73616,-60,True,10.00000,19.50000,-0.50000,3186,False,2,1315461,1734,1.33286,1.64344,2.08969,-0.33257,1,30.95731
8,53,141,40.00000,6.12836,5.14230,-60,True,30.00000,39.50000,-0.50000,2788,False,2,1322784,1685,0.38875,2.01321,1.93787,0.66994,1,39.07073
8,54,142,100.00000,-1.38919,7.87846,-60,True,90.00000,99.75000,-0.25000,3500,False,2,1333075,1518,-1.49946,1.47909,0.53120,2.03812,1,35.39183
8,55,143,120.00000,-4.00000,6.92820,-60,True,110.00000,118.50000,-1.50000,3706,False,2,1340247,751,-1.98077,0.30814,-0.72353,1.86947,1,51.15761
8,56,144,160.00000,-7.51754,2.73616,-60,True,150.00000,159.75000,-0.25000,2839,False,2,1349187,2368,-2.03631,0.24652,-0.80467,1.88675,1,13.09724
