task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,140.00000,-6.12836,5.14230,0,True,130.00000,139.75000,-0.25000,2435,False,2,46308,4720,-1.98077,1.02715,-1.98077,1.02715,1,12.59051
2,2,2,40.00000,6.12836,5.14230,0,True,30.00000,38.00000,-2.00000,1563,False,2,51745,2018,1.72161,1.10932,1.72161,1.10932,1,-7.20428
2,3,3,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,2324,False,2,57933,1951,-0.24065,2.03375,-0.24065,2.03375,1,-3.25167
2,4,4,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,1890,False,2,63604,2001,-2.14738,0.67792,-2.14738,0.67792,1,2.47928
2,5,5,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,2372,False,2,72111,4203,5.40548,0.82172,5.40548,0.82172,1,-11.35630
2,6,6,60.00000,4.00000,6.92820,0,True,50.00000,58.25000,-1.75000,1882,False,2,77865,1868,1.40690,1.56127,1.40690,1.56127,1,-12.02282
2,7,7,120.00000,-4.00000,6.92820,0,True,110.00000,119.75000,-0.25000,2255,False,2,84754,1885,-1.11071,1.80778,-1.11071,1.80778,1,1.56680
2,8,8,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,2169,False,2,91492,1985,0.75899,2.19810,0.75899,2.19810,1,-9.04947
2,9,9,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,1922,False,2,101700,6521,1.70310,1.23258,1.70310,1.23258,1,-4.10571
2,10,10,100.00000,-1.38919,7.87846,0,True,90.00000,99.25000,-0.75000,2092,False,2,107722,1551,-0.66643,1.93104,-0.66643,1.93104,1,9.04030
2,11,11,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,2006,False,2,113759,1417,-2.01780,0.73955,-2.01780,0.73955,1,-0.12854
2,12,12,120.00000,-4.00000,6.92820,0,True,110.00000,119.25000,-0.75000,2070,False,2,128521,1901,-1.14774,1.64344,-1.14774,1.64344,1,4.92955
2,13,13,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,1955,False,2,135543,2785,1.29583,1.72561,1.29583,1.72561,1,-6.90436
2,14,14,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,2022,False,2,140930,1767,1.85119,0.80118,1.85119,0.80118,1,3.40257
2,15,15,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,2072,False,2,147135,1867,0.68494,2.11593,0.68494,2.11593,1,-7.93710
2,16,16,140.00000,-6.12836,5.14230,0,True,130.00000,138.75000,-1.25000,2322,False,2,154157,2668,-3.88750,1.93104,-3.88750,1.93104,1,13.58501
2,17,17,20.00000,7.51754,2.73616,0,True,10.00000,18.25000,-1.75000,2086,False,2,159929,1418,1.85119,0.94498,1.85119,0.94498,1,7.04302
2,18,18,40.00000,6.12836,5.14230,0,True,30.00000,38.50000,-1.50000,2175,False,2,165633,1701,1.61054,1.52018,1.61054,1.52018,1,3.34677
2,19,19,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,2172,False,2,171421,1251,1.46244,1.45855,1.46244,1.45855,1,-15.07630
2,20,20,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,2176,False,2,176591,1284,0.49982,1.95158,0.49982,1.95158,1,-4.36527
2,21,21,120.00000,-4.00000,6.92820,0,True,110.00000,119.00000,-1.00000,2023,False,2,182429,1434,-0.99964,1.86941,-0.99964,1.86941,1,-1.86500
2,22,22,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,2354,False,2,188984,1367,-0.01851,2.15701,-0.01851,2.15701,1,-9.50834
2,23,23,140.00000,-6.12836,5.14230,0,True,130.00000,138.50000,-1.50000,1806,False,2,195789,2651,-2.53613,2.01321,-2.53613,2.01321,1,1.55704
2,24,24,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,2454,False,2,201844,1434,-1.88821,0.98606,-1.88821,0.98606,1,-7.57444
3,1,25,80.00000,1.38919,7.87846,0,True,70.00000,80.75000,0.75000,2738,False,2,210584,3102,-0.07405,2.13647,0.36312,2.05938,1,11.98508
3,2,26,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,2420,False,2,216089,1235,1.90673,0.90389,1.97419,0.71855,1,5.36340
3,3,27,100.00000,-1.38919,7.87846,0,True,90.00000,99.00000,-1.00000,2561,False,2,223161,2936,-0.64792,1.93104,-0.34976,1.98361,1,8.54810
3,4,28,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,2036,False,2,228198,1068,-1.88821,1.08878,-1.64417,1.37962,1,10.03138
3,5,29,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,2290,False,2,234002,783,-2.18440,0.14380,-1.97509,0.71888,1,16.23363
3,6,30,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,1944,False,2,239924,2135,1.72161,1.15041,1.57674,1.32305,1,-6.24846
3,7,31,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,2337,False,2,246278,1867,-1.33286,1.58181,-1.01816,1.76350,1,10.11806
3,8,32,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,1874,False,2,251249,1317,1.36988,2.05430,1.23201,2.13390,1,-3.69676
3,9,33,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,1941,False,2,256636,1484,2.01780,0.84226,2.05246,0.74703,1,2.65639
3,10,34,60.00000,4.00000,6.92820,0,True,50.00000,58.50000,-1.50000,1859,False,2,261190,1318,1.40690,1.60235,1.04556,1.81097,1,-11.28387
3,11,35,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,1910,False,2,265727,1218,1.53649,1.68452,1.73111,1.45258,1,7.63133
3,12,36,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,2028,False,2,271515,2252,0.74048,2.19810,0.39822,2.25845,1,-8.61727
3,13,37,160.00000,-7.51754,2.73616,0,True,150.00000,160.00000,0.00000,1973,False,2,275985,817,-2.35101,-0.16434,-2.02318,0.73638,1,23.99858
3,14,38,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,2378,False,2,281305,1084,-1.20327,1.62289,-1.00355,1.73820,1,6.55459
