task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,5788,False,2,44018,3970,1.12923,1.78724,1.12923,1.78724,1,-2.28588
2,2,2,80.00000,1.38919,7.87846,0,True,70.00000,81.75000,1.75000,2688,False,2,51324,1068,0.53685,2.09538,0.53685,2.09538,1,-4.37044
2,3,3,100.00000,-1.38919,7.87846,0,True,90.00000,98.75000,-1.25000,3737,False,2,62082,3303,-0.61089,1.95158,-0.61089,1.95158,1,7.38134
2,4,4,140.00000,-6.12836,5.14230,0,True,130.00000,139.00000,-1.00000,2099,False,2,68520,1218,-1.85119,0.90389,-1.85119,0.90389,1,13.97489
2,5,5,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,1837,False,2,74358,817,-2.01780,0.69846,-2.01780,0.69846,1,0.90674
2,6,6,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,3639,False,2,82547,1117,1.55500,1.35584,1.55500,1.35584,1,1.08592
2,7,7,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,3684,False,2,94023,2836,-1.61054,1.41746,-1.61054,1.41746,1,18.64852
2,8,8,20.00000,7.51754,2.73616,0,True,10.00000,21.50000,1.50000,2335,False,2,100461,1118,1.83268,1.00661,1.83268,1.00661,1,8.77804
2,9,9,120.00000,-4.00000,6.92820,0,True,110.00000,121.00000,1.00000,5325,False,2,110085,1184,-1.09220,1.74615,-1.09220,1.74615,1,2.02558
2,10,10,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,2040,False,2,115306,1051,-2.01780,0.59575,-2.01780,0.59575,1,3.55091
2,11,11,60.00000,4.00000,6.92820,0,True,50.00000,61.25000,1.25000,3500,False,2,126331,1918,1.01815,1.72561,1.01815,1.72561,1,-0.54159
2,12,12,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,3322,False,2,133403,934,1.48095,1.52018,1.48095,1.52018,1,5.74891
2,13,13,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,2507,False,2,139424,900,-0.51833,2.07484,-0.51833,2.07484,1,4.02637
2,14,14,140.00000,-6.12836,5.14230,0,True,130.00000,141.75000,1.75000,2908,False,2,145912,933,-1.79565,0.90389,-1.79565,0.90389,1,13.28034
2,15,15,20.00000,7.51754,2.73616,0,True,10.00000,22.00000,2.00000,2974,False,2,153201,1417,1.85119,0.98606,1.85119,0.98606,1,8.04257
2,16,16,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,2420,False,2,160107,934,0.57387,1.95158,0.57387,1.95158,1,-6.38619
2,17,17,120.00000,-4.00000,6.92820,0,True,110.00000,120.75000,0.75000,2652,False,2,166812,984,-1.05518,1.72561,-1.05518,1.72561,1,1.44505
2,18,18,40.00000,6.12836,5.14230,0,True,30.00000,39.25000,-0.75000,2006,False,2,172633,1117,1.61054,1.27366,1.61054,1.27366,1,-1.66207
2,19,19,20.00000,7.51754,2.73616,0,True,10.00000,20.25000,0.25000,3790,False,2,180155,917,1.83268,0.90389,1.83268,0.90389,1,6.25282
2,20,20,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,2257,False,2,186260,1051,1.01815,1.78724,1.01815,1.78724,1,0.33082
2,21,21,160.00000,-7.51754,2.73616,0,True,150.00000,159.75000,-0.25000,2623,False,2,192598,1067,-2.07333,0.51357,-2.07333,0.51357,1,6.08769
2,22,22,100.00000,-1.38919,7.87846,0,True,90.00000,101.50000,1.50000,2038,False,2,198720,1051,-0.44429,2.03375,-0.44429,2.03375,1,2.32315
2,23,23,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,1985,False,2,205775,951,-1.62905,1.19149,-1.62905,1.19149,1,3.81820
2,24,24,80.00000,1.38919,7.87846,0,True,70.00000,81.25000,1.25000,3505,False,2,214014,1284,0.25917,2.05430,0.25917,2.05430,1,2.80957
3,1,25,120.00000,-4.00000,6.92820,0,True,110.00000,121.50000,1.50000,2168,False,2,221120,1100,-0.99964,1.78724,-1.02381,1.77329,1,-0.78082
