task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,160.00000,-7.51754,2.73616,0,True,150.00000,159.25000,-0.75000,2619,False,2,51366,3135,-1.90673,0.69846,-1.90673,0.69846,1,-0.11844
2,2,2,140.00000,-6.12836,5.14230,0,True,130.00000,139.25000,-0.75000,2908,False,2,58522,584,-1.86970,1.45855,-1.86970,1.45855,1,2.04226
2,3,3,80.00000,1.38919,7.87846,0,True,70.00000,79.00000,-1.00000,1663,False,2,64226,2552,0.48131,2.23918,0.48131,2.23918,1,-2.13110
2,4,4,120.00000,-4.00000,6.92820,0,True,110.00000,120.25000,0.25000,2339,False,2,68896,833,-1.35137,1.70507,-1.35137,1.70507,1,8.39893
2,5,5,40.00000,6.12836,5.14230,0,True,30.00000,38.75000,-1.25000,2496,False,2,74784,1801,1.42542,1.43801,1.42542,1.43801,1,5.25192
2,6,6,20.00000,7.51754,2.73616,0,True,10.00000,21.50000,1.50000,2592,False,2,79655,784,1.79565,1.08878,1.79565,1.08878,1,11.23024
2,7,7,100.00000,-1.38919,7.87846,0,True,90.00000,101.25000,1.25000,1744,False,2,85393,2202,-0.68494,2.03375,-0.68494,2.03375,1,8.61284
2,8,8,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,1857,False,2,90497,1802,1.18476,1.97212,1.18476,1.97212,1,-0.99553
2,9,9,40.00000,6.12836,5.14230,0,True,30.00000,39.75000,-0.25000,2072,False,2,95534,867,1.44393,1.39692,1.44393,1.39692,1,4.05196
2,10,10,80.00000,1.38919,7.87846,0,True,70.00000,80.00000,0.00000,1812,False,2,99737,901,0.61089,2.17755,0.61089,2.17755,1,-5.67094
2,11,11,60.00000,4.00000,6.92820,0,True,50.00000,59.50000,-0.50000,2579,False,2,104658,934,1.07369,1.93104,1.07369,1.93104,1,0.92522
2,12,12,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,1611,False,2,108527,900,-1.42542,1.78724,-1.42542,1.78724,1,8.57424
2,13,13,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,1926,False,2,113381,884,1.85119,1.06823,1.85119,1.06823,1,9.98711
2,14,14,100.00000,-1.38919,7.87846,0,True,90.00000,100.00000,0.00000,1627,False,2,117417,833,-0.40726,2.19810,-0.40726,2.19810,1,0.49663
2,15,15,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,1578,False,2,121370,834,-2.03631,0.73955,-2.03631,0.73955,1,0.03992
