task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,40.00000,6.12836,5.14230,0,True,30.00000,38.25000,-1.75000,3519,False,2,57703,10575,1.66607,1.60235,1.66607,1.60235,1,3.88312
2,2,2,160.00000,-7.51754,2.73616,0,True,150.00000,159.00000,-1.00000,2972,False,2,75250,2719,-2.01780,-0.10271,-2.01780,-0.10271,1,22.91395
2,3,3,120.00000,-4.00000,6.92820,0,True,110.00000,120.50000,0.50000,3588,False,2,105790,6054,-2.22143,2.81439,-2.22143,2.81439,1,8.28443
2,4,4,140.00000,-6.12836,5.14230,0,True,130.00000,138.75000,-1.25000,3945,False,2,115548,2419,-1.86970,1.17095,-1.86970,1.17095,1,7.94204
2,5,5,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,6589,False,2,131443,6521,0.70345,1.99267,0.70345,1.99267,1,10.55601
2,6,6,100.00000,-1.38919,7.87846,0,True,90.00000,99.75000,-0.25000,3167,False,2,172008,2568,-0.49982,1.99267,-0.49982,1.99267,1,4.08095
2,7,7,20.00000,7.51754,2.73616,0,True,10.00000,20.50000,0.50000,3253,False,2,179581,1668,1.94375,0.82172,1.94375,0.82172,1,2.91620
2,8,8,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,5774,False,2,191473,3185,-0.92560,1.86941,-0.92560,1.86941,1,36.34137
2,9,9,80.00000,1.38919,7.87846,0,True,70.00000,79.25000,-0.75000,2869,False,2,199513,3002,0.40726,2.07484,0.40726,2.07484,1,-1.10512
2,10,10,120.00000,-4.00000,6.92820,0,True,110.00000,120.00000,0.00000,2250,False,2,206702,2102,-1.83268,1.06823,-1.83268,1.06823,1,29.76301
2,11,11,100.00000,-1.38919,7.87846,0,True,90.00000,97.00000,-3.00000,3120,False,2,215909,3186,-1.14774,1.68452,-1.14774,1.68452,1,24.26838
2,12,12,160.00000,-7.51754,2.73616,0,True,150.00000,159.50000,-0.50000,1801,False,2,221797,1735,-2.12887,0.18489,-2.12887,0.18489,1,15.03638
2,13,13,20.00000,7.51754,2.73616,0,True,10.00000,18.25000,-1.75000,2985,False,2,230637,1635,1.68458,1.19149,1.68458,1.19149,1,15.27146
2,14,14,40.00000,6.12836,5.14230,0,True,30.00000,40.50000,0.50000,1938,False,2,237976,2635,1.55500,1.31475,1.55500,1.31475,1,0.21447
2,15,15,60.00000,4.00000,6.92820,0,True,50.00000,58.75000,-1.25000,1982,False,2,245265,1601,1.92524,1.02715,1.92524,1.02715,1,-31.91928
2,16,16,140.00000,-6.12836,5.14230,0,True,130.00000,141.00000,1.00000,2719,False,2,252654,1151,-1.74012,1.12986,-1.74012,1.12986,1,7.00433
2,17,17,140.00000,-6.12836,5.14230,0,True,130.00000,138.50000,-1.50000,2420,False,2,260677,2085,-1.85119,0.78063,-1.85119,0.78063,1,17.13529
2,18,18,120.00000,-4.00000,6.92820,0,True,110.00000,119.50000,-0.50000,3584,False,2,269467,1952,-0.75899,2.01321,-0.75899,2.01321,1,-9.34331
2,19,19,100.00000,-1.38919,7.87846,0,True,90.00000,100.50000,0.50000,1836,False,2,275989,1435,-1.36988,1.78724,-1.36988,1.78724,1,27.46937
2,20,20,20.00000,7.51754,2.73616,0,True,10.00000,19.75000,-0.25000,2190,False,2,282510,2301,2.18440,0.63683,2.18440,0.63683,1,-3.74673
2,21,21,40.00000,6.12836,5.14230,0,True,30.00000,39.00000,-1.00000,1718,False,2,288965,1984,1.70310,1.39692,1.70310,1.39692,1,-0.64064
2,22,22,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,1471,False,2,294736,1550,-1.94375,0.78063,-1.94375,0.78063,1,-1.88090
2,23,23,60.00000,4.00000,6.92820,0,True,50.00000,60.00000,0.00000,1467,False,2,302309,2085,1.05518,1.72561,1.05518,1.72561,1,-1.44505
2,24,24,80.00000,1.38919,7.87846,0,True,70.00000,79.75000,-0.25000,1871,False,2,308431,1902,0.94411,1.76669,0.94411,1.76669,1,-18.11982
3,1,25,20.00000,7.51754,2.73616,0,True,10.00000,20.00000,0.00000,1821,False,2,314635,1584,1.98077,0.65737,1.96034,0.71351,1,-1.64023
3,2,26,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,1489,False,2,319606,1201,1.42542,1.49964,1.57490,1.32149,1,6.45350
3,3,27,140.00000,-6.12836,5.14230,0,True,130.00000,140.75000,0.75000,1573,False,2,324860,1335,-1.75863,1.21203,-1.62882,1.36674,1,5.42578
3,4,28,100.00000,-1.38919,7.87846,0,True,90.00000,98.75000,-1.25000,2390,False,2,331331,1534,-1.33286,1.95158,-0.37393,2.12067,1,24.33169
3,5,29,160.00000,-7.51754,2.73616,0,True,150.00000,158.75000,-1.25000,4108,False,2,339004,1468,-2.16589,0.41086,-2.04458,0.74417,1,9.25886
3,6,30,80.00000,1.38919,7.87846,0,True,70.00000,80.75000,0.75000,2090,False,2,344242,934,-0.62940,2.17755,0.35340,2.00426,1,26.12143
3,7,31,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,3275,False,2,351681,2002,0.94411,1.82832,1.02771,1.78005,1,2.68902
3,8,32,120.00000,-4.00000,6.92820,0,True,110.00000,120.75000,0.75000,2072,False,2,357468,1301,-2.44357,1.08878,-1.08235,1.87468,1,35.98371
3,9,33,60.00000,4.00000,6.92820,0,True,50.00000,59.75000,-0.25000,1559,False,2,361388,867,1.01815,1.86941,1.06402,1.84293,1,1.42565
3,10,34,40.00000,6.12836,5.14230,0,True,30.00000,39.50000,-0.50000,1408,False,2,365725,884,1.79565,1.08878,1.58985,1.33404,1,-8.76976
3,11,35,20.00000,7.51754,2.73616,0,True,10.00000,18.75000,-1.25000,1843,False,2,371246,1835,2.03631,0.34923,1.91035,0.69531,1,-10.26837
3,12,36,120.00000,-4.00000,6.92820,0,True,110.00000,118.75000,-1.25000,1389,False,2,376866,1917,-1.83268,1.37638,-1.05416,1.82586,1,23.09270
3,13,37,140.00000,-6.12836,5.14230,0,True,130.00000,140.00000,0.00000,1556,False,2,381136,883,-1.90673,0.94498,-1.58422,1.32932,1,13.63687
3,14,38,80.00000,1.38919,7.87846,0,True,70.00000,80.50000,0.50000,1577,False,2,385857,1334,0.31470,2.05430,0.36079,2.04617,1,1.29052
3,15,39,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,1725,False,2,390761,1385,-1.09220,2.09538,-0.39127,2.21898,1,17.53042
3,16,40,160.00000,-7.51754,2.73616,0,True,150.00000,158.50000,-1.50000,1393,False,2,395681,2068,-2.01780,0.71900,-2.01284,0.73262,1,0.38756
4,1,41,80.00000,1.38919,7.87846,0,True,70.00000,80.25000,0.25000,1454,False,2,401469,2052,0.24065,2.03375,0.24065,2.03375,1,3.25167
4,2,42,120.00000,-4.00000,6.92820,0,True,110.00000,118.25000,-1.75000,1889,False,2,407390,1901,-0.90708,1.97212,-0.90708,1.97212,1,-5.29985
4,3,43,40.00000,6.12836,5.14230,0,True,30.00000,40.75000,0.75000,1554,False,2,413478,2085,1.46244,1.52018,1.46244,1.52018,1,6.10904
4,4,44,160.00000,-7.51754,2.73616,0,True,150.00000,158.00000,-2.00000,1437,False,2,418782,1484,-1.88821,0.76009,-1.88821,0.76009,1,-1.92702
