task_idx,trial_idx,cutrial_no,targetangle_deg,targetx_cm,targety_cm,rotation_deg,doaiming_bool,aimstart_deg,aim_deg,aimdeviation_deg,aimtime_ms,zeroclamped_bool,phase,cutime_ms,time_ms,mousex_cm,mousey_cm,cursorx_cm,cursory_cm,deviation_bool,reachdeviation_deg
2,1,1,80.00000,1.38919,7.87846,0,True,70.00000,79.50000,-0.50000,9056,False,2,56258,11558,0.31470,2.01321,0.31470,2.01321,1,1.11556
2,2,2,20.00000,7.51754,2.73616,0,True,10.00000,19.50000,-0.50000,2965,False,2,66450,1318,1.81417,0.94498,1.81417,0.94498,1,7.51448
2,3,3,120.00000,-4.00000,6.92820,0,True,110.00000,120.75000,0.75000,2835,False,2,75173,1418,-1.40690,1.49964,-1.40690,1.49964,1,13.17246
2,4,4,100.00000,-1.38919,7.87846,0,True,90.00000,99.00000,-1.00000,3333,False,2,84797,1485,-0.96262,1.78724,-0.96262,1.78724,1,18.30722
2,5,5,40.00000,6.12836,5.14230,0,True,30.00000,40.25000,0.25000,4717,False,2,96022,1718,1.66607,1.21203,1.66607,1.21203,1,-3.96492
2,6,6,60.00000,4.00000,6.92820,0,True,50.00000,59.25000,-0.75000,2814,False,2,105830,1401,1.07369,1.70507,1.07369,1.70507,1,-2.19880
2,7,7,140.00000,-6.12836,5.14230,0,True,130.00000,139.50000,-0.50000,2400,False,2,114553,1601,-1.66607,1.10932,-1.66607,1.10932,1,6.34312
2,8,8,160.00000,-7.51754,2.73616,0,True,150.00000,160.50000,0.50000,2194,False,2,125395,2301,-1.94375,0.53412,-1.94375,0.53412,1,4.63502
2,9,9,120.00000,-4.00000,6.92820,0,True,110.00000,121.25000,1.25000,3815,False,2,138706,1485,-1.44393,1.41746,-1.44393,1.41746,1,15.53001
2,10,10,100.00000,-1.38919,7.87846,0,True,90.00000,99.50000,-0.50000,2447,False,2,149231,2436,-0.74048,1.88995,-0.74048,1.88995,1,11.39518
