Timestamp,Select one of the options below:,What is your age? (in years),What is your sex?,How is your eyesight?,Are you right- or left handed?,Do not change (experiment ID)
11/19/2024 12:30:02,I agree to participate in the study,23,female,"""normal"" (I don't need contacts or glasses)",right handed,0.00E+00
11/19/2024 12:35:25,I agree to participate in the study,23,female,"""normal"" (I don't need contacts or glasses)",right handed,d80bf6
11/20/2024 11:00:05,I agree to participate in the study,19,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,8815
11/20/2024 12:10:05,I agree to participate in the study,19,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,ebb78e
11/20/2024 14:44:59,I agree to participate in the study,20,female,"""normal"" (I don't need contacts or glasses)",right handed,f9d00a
11/20/2024 15:17:47,I agree to participate in the study,20,female,"""normal"" (I don't need contacts or glasses)",right handed,e29a55
11/21/2024 9:47:41,I agree to participate in the study,19,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,327dd5
11/22/2024 13:45:13,I agree to participate in the study,22,male,"""normal"" (I don't need contacts or glasses)",right handed,d53127
11/22/2024 14:59:04,I agree to participate in the study,19,male,"""normal"" (I don't need contacts or glasses)",right handed,d42e9f
11/22/2024 15:03:10,I agree to participate in the study,19,male,"""normal"" (I don't need contacts or glasses)",right handed,31e0df
11/25/2024 8:52:07,I agree to participate in the study,18,female,"""normal"" (I don't need contacts or glasses)",right handed,78291d
11/25/2024 10:10:31,I agree to participate in the study,19,female,"""normal"" (I don't need contacts or glasses)",right handed,1d9e85
11/25/2024 11:25:24,I agree to participate in the study,19,male,"""normal"" (I don't need contacts or glasses)",right handed,1b10a5
11/26/2024 12:33:45,I agree to participate in the study,21,male,"""normal"" (I don't need contacts or glasses)",right handed,8bd366
11/29/2024 13:12:49,I agree to participate in the study,19,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,037250
11/29/2024 14:11:11,I agree to participate in the study,23,male,"""normal"" (I don't need contacts or glasses)",right handed,53fb56
11/29/2024 14:20:02,I agree to participate in the study,23,male,"""normal"" (I don't need contacts or glasses)",right handed,37f638
12/2/2024 10:09:27,I agree to participate in the study,19,male,"""normal"" (I don't need contacts or glasses)",right handed,33429c
12/2/2024 11:10:44,I agree to participate in the study,19,male,"""normal"" (I don't need contacts or glasses)",right handed,4fd730
12/2/2024 12:24:34,I agree to participate in the study,19,male,"""normal"" (I don't need contacts or glasses)",right handed,30d65f
12/2/2024 14:33:48,I agree to participate in the study,20,female,"""normal"" (I don't need contacts or glasses)",right handed,01a5ba
12/2/2024 15:34:35,I agree to participate in the study,19,male,"""normal"" (I don't need contacts or glasses)",right handed,a9dcef
12/3/2024 9:59:24,I agree to participate in the study,22,male,"""normal"" (I don't need contacts or glasses)",right handed,b97eb5
12/3/2024 10:06:55,I agree to participate in the study,22,male,"""normal"" (I don't need contacts or glasses)",right handed,de80e4
12/3/2024 10:11:16,I agree to participate in the study,22,male,"""normal"" (I don't need contacts or glasses)",right handed,b6d05c
12/3/2024 10:13:27,I agree to participate in the study,22,male,"""normal"" (I don't need contacts or glasses)",right handed,f34b3f
12/3/2024 10:18:43,I agree to participate in the study,22,male,"""normal"" (I don't need contacts or glasses)",right handed,db522b
12/3/2024 11:22:36,I agree to participate in the study,19,female,"""normal"" (I don't need contacts or glasses)",right handed,3cf575
12/3/2024 13:27:14,I agree to participate in the study,19,female,"""normal"" (I don't need contacts or glasses)",right handed,ddc132
12/3/2024 14:47:54,I agree to participate in the study,28,male,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,e848af
1/15/2025 12:03:38,I agree to participate in the study,20,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",left handed,a91304
1/15/2025 12:34:30,I agree to participate in the study,20,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",left handed,b049fa
1/15/2025 13:18:02,I agree to participate in the study,19,female,"""normal"" (I don't need contacts or glasses)",right handed,3ab4de
1/20/2025 10:01:45,I agree to participate in the study,32,other / prefer not to say,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,996d70
1/20/2025 10:06:09,I agree to participate in the study,32,other / prefer not to say,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,71d9cc
1/20/2025 11:27:36,I agree to participate in the study,20,female,"""normal"" (I don't need contacts or glasses)",right handed,d0d19c
1/20/2025 12:21:15,I agree to participate in the study,18,male,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,f01b2d
1/20/2025 13:35:39,I agree to participate in the study,18,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,e0b67a
1/22/2025 13:31:46,I agree to participate in the study,18,female,"""normal"" (I don't need contacts or glasses)",right handed,477181
1/22/2025 14:27:13,I agree to participate in the study,22,female,"""corrected to normal"" (I need contacts or glasses and I'm wearing them now)",right handed,b1d0c9
